r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
care | there,Ierne's now our royal Care:,pba35-l06715, We lately fix'd our Vice-roy there. ,pba35-l06720,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
there | care, We lately fix'd our Vice-roy there. ,pba35-l06720,Ierne's now our royal Care:,pba35-l06715,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
undone | son,"How near was she to be undone,",pba35-l06725, Till pious Love inspir'd her Son! ,pba35-l06730,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
son | undone, Till pious Love inspir'd her Son! ,pba35-l06730,"How near was she to be undone,",pba35-l06725,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
do | too,"What cannot our Vice-gerent do,",pba35-l06735," As Poet, and as Patriot too? ",pba35-l06740,/əʊ/ | /uː/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
too | do," As Poet, and as Patriot too? ",pba35-l06740,"What cannot our Vice-gerent do,",pba35-l06735,/uː/ | /əʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
sway | obey,"Let his Success our Subjects sway,",pba35-l06745, Our Inspirations to obey:,pba35-l06750,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
obey | sway, Our Inspirations to obey:,pba35-l06750,"Let his Success our Subjects sway,",pba35-l06745,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
traced | taste, Let beaten Paths no more be trac'd;,pba35-l06755, But study to correct your Taste. ,pba35-l06760,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
taste | traced, But study to correct your Taste. ,pba35-l06760, Let beaten Paths no more be trac'd;,pba35-l06755,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
begun | sun,No Simile shall be begun,pba35-l06765," With rising, or with setting Sun;",pba35-l06770,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
sun | begun," With rising, or with setting Sun;",pba35-l06770,No Simile shall be begun,pba35-l06765,/ʌn/ | /ʌn/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
nile | isle, And let the secret Head of Nile,pba35-l06775, Be ever banish'd from your Isle. ,pba35-l06780,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
isle | nile, Be ever banish'd from your Isle. ,pba35-l06780, And let the secret Head of Nile,pba35-l06775,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
air | spare,"When wretched Lovers live on Air,",pba35-l06785, In Pity the Chameleon spare! ,pba35-l06790,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
spare | air, In Pity the Chameleon spare! ,pba35-l06790,"When wretched Lovers live on Air,",pba35-l06785,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
grander | salamander,"And when you'd make a Hero grander,",pba35-l06795, Forget he's like a Salamander. ,pba35-l06800,/ændə/ | /æləmændə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
salamander | grander, Forget he's like a Salamander. ,pba35-l06800,"And when you'd make a Hero grander,",pba35-l06795,/æləmændə/ | /ændə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
say | day,"No Son of mine shall dare to say,",pba35-l06805, Aurora usher'd in the Day. ,pba35-l06810,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
day | say, Aurora usher'd in the Day. ,pba35-l06810,"No Son of mine shall dare to say,",pba35-l06805,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
doubt | out,"You all agree, I make no Doubt,",pba35-l06815, The Prophet's Mantle's quite worn out. ,pba35-l06820,/aʊt/ | /aʊt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
out | doubt, The Prophet's Mantle's quite worn out. ,pba35-l06820,"You all agree, I make no Doubt,",pba35-l06815,/aʊt/ | /aʊt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
more | soar,"The Bird of Jove shall toil no more,",pba35-l06825, To teach the humble Wren to soar. ,pba35-l06830,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
soar | more, To teach the humble Wren to soar. ,pba35-l06830,"The Bird of Jove shall toil no more,",pba35-l06825,/ɔː/ | /ɔː/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
rant | cant,"Your tragic Heroes shall not rant,",pba35-l06835, Nor Shepherds use poetic Cant. ,pba35-l06840,/ænt/ | /ænt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
cant | rant, Nor Shepherds use poetic Cant. ,pba35-l06840,"Your tragic Heroes shall not rant,",pba35-l06835,/ænt/ | /ænt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
grace | race,Simplicity alone can grace,pba35-l06845, The Manners of the rural Race. ,pba35-l06850,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
race | grace, The Manners of the rural Race. ,pba35-l06850,Simplicity alone can grace,pba35-l06845,/eɪs/ | /eɪs/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
flight | sight,"When Damon's Soul shall take its Flight,",pba35-l06855, (Tho' Poets have the second Sight),pba35-l06860,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
sight | flight, (Tho' Poets have the second Sight),pba35-l06860,"When Damon's Soul shall take its Flight,",pba35-l06855,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
rise | skies," No Trail of Light shall upwards rise,",pba35-l06865, Nor a new Star adorn the Skies:,pba35-l06870,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
skies | rise, Nor a new Star adorn the Skies:,pba35-l06870," No Trail of Light shall upwards rise,",pba35-l06865,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
there | hair," For who can hope to place one there,",pba35-l06875, So glorious as Belinda's Hair? ,pba35-l06880,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
hair | there, So glorious as Belinda's Hair? ,pba35-l06880," For who can hope to place one there,",pba35-l06875,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
eternise | skies,"Yet, if his Name you eternize,",pba35-l06885, And must exalt him to the Skies;,pba35-l06890,/ɜːnaɪz/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
skies | eternise, And must exalt him to the Skies;,pba35-l06890,"Yet, if his Name you eternize,",pba35-l06885,/aɪz/ | /ɜːnaɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
done | addison, Without a Star it may be done —,pba35-l06895, So Tickell mourn'd his Addison. ,pba35-l06900,/ʌn/ | /ædɪsən/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
addison | done, So Tickell mourn'd his Addison. ,pba35-l06900, Without a Star it may be done —,pba35-l06895,/ædɪsən/ | /ʌn/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
praise | halcyon-days,"If Anna's happy Reign you praise,",pba35-l06905, Say not a Word of Halcyon-Days:,pba35-l06910,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
halcyon-days | praise, Say not a Word of Halcyon-Days:,pba35-l06910,"If Anna's happy Reign you praise,",pba35-l06905,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
skill | cooper's-hill," Nor let my Vot'ries shew their Skill,",pba35-l06915, In apeing Lines from Cooper's-Hill;,pba35-l06920,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
cooper's-hill | skill, In apeing Lines from Cooper's-Hill;,pba35-l06920," Nor let my Vot'ries shew their Skill,",pba35-l06915,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
hear | clear," For know, I cannot bear to hear",pba35-l06925," The Mimickry of deep, yet clear. ",pba35-l06930,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
clear | hear," The Mimickry of deep, yet clear. ",pba35-l06930," For know, I cannot bear to hear",pba35-l06925,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
addressed | protest,"Whene'er my Vice-roy is address'd,",pba35-l06935, Against the Phoenix I protest. ,pba35-l06940,/est/ | /əʊtest/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
protest | addressed, Against the Phoenix I protest. ,pba35-l06940,"Whene'er my Vice-roy is address'd,",pba35-l06935,/əʊtest/ | /est/,half-pararhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
survey | way,"When Kelly's Beauties you survey,",pba35-l06945, Forget they're like the Milky Way. ,pba35-l06950,/ɜːveɪ/ | /eɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
way | survey, Forget they're like the Milky Way. ,pba35-l06950,"When Kelly's Beauties you survey,",pba35-l06945,/eɪ/ | /ɜːveɪ/,half-vowelrhyme,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
strains | reins,"When Poets soar in youthful Strains,",pba35-l06955, No Phaeton to hold the Reins. ,pba35-l06960,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
reins | strains, No Phaeton to hold the Reins. ,pba35-l06960,"When Poets soar in youthful Strains,",pba35-l06955,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
another | mother,"CUPID shall ne'er mistake another,",pba35-l06965," Not ev'n Eliza, for his Mother;",pba35-l06970,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
mother | another," Not ev'n Eliza, for his Mother;",pba35-l06970,"CUPID shall ne'er mistake another,",pba35-l06965,/ʌðə/ | /ʌðə/,full,<b>a</b><b>a</b>,pers00087;pers00148,pba35-w0490
