Rhyme word,Raw frequency,Rhyme vowel,Rhyme sound
breast,5,/e/,/est/
shade,4,/eɪ/,/eɪd/
heart,4,/ɑː/,/ɑːt/
eye,4,/aɪ/,/aɪ/
grace,4,/eɪ/,/eɪs/
chain,3,/eɪ/,/eɪn/
soul,3,/əʊ/,/əʊl/
vest,3,/e/,/est/
mind,3,/aɪ/,/aɪnd/
mankind,3,/aɪ/,/aɪnd/
blaze,3,/eɪ/,/eɪz/
scene,3,/iː/,/iːn/
age,3,/eɪ/,/eɪdʒ/
run,3,/ʌ/,/ʌn/
rage,3,/eɪ/,/eɪdʒ/
grave,3,/ɑː/,/ɑːv/
fool,3,/uː/,/uːl/
smile,2,/aɪ/,/aɪl/
confessed,2,/e/,/est/
crest,2,/e/,/est/
art,2,/ɑː/,/ɑːt/
scale,2,/eɪ/,/eɪl/
friend,2,/e/,/end/
own,2,/əʊ/,/əʊn/
throne,2,/əʊ/,/əʊn/
sword,2,/ɔː/,/ɔːd/
charm,2,/ɑː/,/ɑːm/
aid,2,/eɪ/,/eɪd/
sky,2,/aɪ/,/aɪ/
power,2,/ʊə/,/aʊə/
tear,2,/ɪə/,/ɪə/
face,2,/eɪ/,/eɪs/
vice,2,/aɪ/,/aɪsi/
tale,2,/eɪ/,/eɪl/
tongue,2,/ʌ/,/ʌŋ/
stare,2,/eə/,/eə/
cell,2,/e/,/el/
awe,2,/ɔː/,/ɔː/
lie,2,/aɪ/,/aɪ/
fire,2,/ə/,/æə/
sage,2,/eɪ/,/eɪdʒ/
lord,2,/ɔː/,/ɔːd/
sun,2,/ʌ/,/ʌn/
day,2,/eɪ/,/eɪ/
slave,2,/eɪ/,/eɪv/
place,2,/eɪ/,/eɪs/
ear,2,/ɪə/,/ɪə/
sense,2,/e/,/ens/
roll,2,/əʊ/,/əʊl/
toil,2,/ɔɪ/,/ɔɪl/
carest,2,/eə/,/eərəst/
dart,2,/ɑː/,/ɑːt/
wound,2,/uː/,/uːnd/
frown,2,/aʊ/,/aʊn/
gay,2,/eɪ/,/eɪ/
play,2,/eɪ/,/eɪ/
knave,2,/eɪ/,/eɪv/
