r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soar | adore,"NO common Height the Muse must soar,",o4602-l00285," Nor dare in humble Verse adore,",o4602-l00295,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
try | sky, That wou'd thy Fame in Numbers try;,o4602-l00290, But rise with Thee above the Sky:,o4602-l00300,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
adore | soar," Nor dare in humble Verse adore,",o4602-l00295,"NO common Height the Muse must soar,",o4602-l00285,/ɔː/ | /ɔː/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
sky | try, But rise with Thee above the Sky:,o4602-l00300, That wou'd thy Fame in Numbers try;,o4602-l00290,/aɪ/ | /aɪ/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
strain | disdain," You ask a bold and lofty strain,",o4602-l00305," And what we meanly sing, disdain. ",o4602-l00310,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
disdain | strain," And what we meanly sing, disdain. ",o4602-l00310," You ask a bold and lofty strain,",o4602-l00305,/eɪn/ | /eɪn/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
explore | power,"You Nature's early Birth explore,",o4602-l00315," From what mix'd Cause, and jarring Power,",o4602-l00325,/ɔː/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
disclose | rose," Her disunited Frame disclose,",o4602-l00320, The Infant Earth to Being rose:,o4602-l00330,/əʊz/ | /əʊz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
power | explore," From what mix'd Cause, and jarring Power,",o4602-l00325,"You Nature's early Birth explore,",o4602-l00315,/aʊə/ | /ɔː/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
rose | disclose, The Infant Earth to Being rose:,o4602-l00330," Her disunited Frame disclose,",o4602-l00320,/əʊz/ | /əʊz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
sleep | deep," How, in her Circling Bosom sleep",o4602-l00335," Th' imprison'd Seas, and Bounded Deep. ",o4602-l00340,/iːp/ | /iːp/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
deep | sleep," Th' imprison'd Seas, and Bounded Deep. ",o4602-l00340," How, in her Circling Bosom sleep",o4602-l00335,/iːp/ | /iːp/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
trace | disgrace,"Resolv'd great hidden Truths to trace,",o4602-l00345," And, pleas'd, enjoy the fam'd disgrace,",o4602-l00355,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
despise | wise, Each Learned Fable you despise;,o4602-l00350," To think, and reason, singly wise:",o4602-l00360,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
disgrace | trace," And, pleas'd, enjoy the fam'd disgrace,",o4602-l00355,"Resolv'd great hidden Truths to trace,",o4602-l00345,/eɪs/ | /eɪs/,full,<b>a</b>b<b>a</b>bcc,pers00150;pers00151,o4602-w0010
wise | despise," To think, and reason, singly wise:",o4602-l00360, Each Learned Fable you despise;,o4602-l00350,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
