r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
send | friend,"TO thee, sweet Fop, these Lines I send,",o3665-l00005," Who, tho' no Spaniel, am a Friend. ",o3665-l00010,/end/ | /end/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
friend | send," Who, tho' no Spaniel, am a Friend. ",o3665-l00010,"TO thee, sweet Fop, these Lines I send,",o3665-l00005,/end/ | /end/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
play | way,"Tho, once my Tail in wanton play,",o3665-l00015," Now frisking this, and then that way,",o3665-l00020,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
way | play," Now frisking this, and then that way,",o3665-l00020,"Tho, once my Tail in wanton play,",o3665-l00015,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
tip | lady-lap-dog-ship," Chanc'd, with a Touch of just the Tip,",o3665-l00025, To hurt your Lady-lap-dog-ship;,o3665-l00030,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
lady-lap-dog-ship | tip, To hurt your Lady-lap-dog-ship;,o3665-l00030," Chanc'd, with a Touch of just the Tip,",o3665-l00025,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
off | of, Yet thence to think I'd bite your Head off! ,o3665-l00035,Sure Bounce is one you never read of. ,o3665-l00040,/ɒf/ | /ɒv/,half-vowelrhyme,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
of | off,Sure Bounce is one you never read of. ,o3665-l00040, Yet thence to think I'd bite your Head off! ,o3665-l00035,/ɒv/ | /ɒf/,half-vowelrhyme,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
leg | beg,"FOP! you can dance, and make a Leg,",o3665-l00045," Can fetch and carry, cringe and beg,",o3665-l00050,/eg/ | /eg/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
beg | leg," Can fetch and carry, cringe and beg,",o3665-l00050,"FOP! you can dance, and make a Leg,",o3665-l00045,/eg/ | /eg/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
tricks | sticks, And (what's the Top of all your Tricks),o3665-l00055, Can stoop to pick up Strings and Sticks. ,o3665-l00060,/ɪks/ | /ɪks/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
sticks | tricks, Can stoop to pick up Strings and Sticks. ,o3665-l00060, And (what's the Top of all your Tricks),o3665-l00055,/ɪks/ | /ɪks/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
