r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
hour | power,STELLA and Flavia every hour,o5156-l12550,"In Stella's soul lies all her power,",o5156-l12560,/æə/ | /aʊə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
surprise | eyes,Do various hearts surprize;,o5156-l12555,And Flavia's in her eyes.,o5156-l12565,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
power | hour,"In Stella's soul lies all her power,",o5156-l12560,STELLA and Flavia every hour,o5156-l12550,/aʊə/ | /æə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
eyes | surprise,And Flavia's in her eyes.,o5156-l12565,Do various hearts surprize;,o5156-l12555,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
are | fair,"More boundless Flavia's conquests are,",o5156-l12570,"All can discern a face that's fair,",o5156-l12580,/ɑː/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
confined | mind,And Stella's more confin'd;,o5156-l12575,But few a lovely mind.,o5156-l12585,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
fair | are,"All can discern a face that's fair,",o5156-l12580,"More boundless Flavia's conquests are,",o5156-l12570,/eə/ | /ɑː/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
mind | confined,But few a lovely mind.,o5156-l12585,And Stella's more confin'd;,o5156-l12575,/aɪnd/ | /aɪnd/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
reigns | deigns,"Stella, like Britain's monarchs, reigns",o5156-l12590,Like eastern tyrants Flavia deigns,o5156-l12600,/eɪnz/ | /eɪnz/,full,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
lands | sands,O'er cultivated lands;,o5156-l12595,To rule o'er barren sands.,o5156-l12605,/ændz/ | /ændz/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
deigns | reigns,Like eastern tyrants Flavia deigns,o5156-l12600,"Stella, like Britain's monarchs, reigns",o5156-l12590,/eɪnz/ | /eɪnz/,full,<b>a</b>b<b>a</b>b,pers00087;pers00121,o5156-w0490
sands | lands,To rule o'er barren sands.,o5156-l12605,O'er cultivated lands;,o5156-l12595,/ændz/ | /ændz/,full,a<b>b</b>a<b>b</b>,pers00087;pers00121,o5156-w0490
