r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
mirth | hearth,"LITTLE inmate, full of mirth,",o3794-l32440, Chirping on my kitchen hearth;,o3794-l32445,/ɜːθ/ | /ɑːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
hearth | mirth, Chirping on my kitchen hearth;,o3794-l32445,"LITTLE inmate, full of mirth,",o3794-l32440,/ɑːθ/ | /ɜːθ/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
abode | good," Wheresoe'er be thine abode,",o3794-l32450," Always harbinger of good,",o3794-l32455,/əʊd/ | /ʊd/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
good | abode," Always harbinger of good,",o3794-l32455," Wheresoe'er be thine abode,",o3794-l32450,/ʊd/ | /əʊd/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
retreat | sweet," Pay me for thy warm retreat,",o3794-l32460," With a song more soft and sweet,",o3794-l32465,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
sweet | retreat," With a song more soft and sweet,",o3794-l32465," Pay me for thy warm retreat,",o3794-l32460,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
receive | give, In return thou shalt receive,o3794-l32470, Such a strain as I can give. ,o3794-l32475,/iːv/ | /ɪv/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
give | receive, Such a strain as I can give. ,o3794-l32475, In return thou shalt receive,o3794-l32470,/ɪv/ | /iːv/,half-pararhyme,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
expressed | guest,"Thus thy praise shall be exprest,",o3794-l32480," Inoffensive, welcome guest! ",o3794-l32485,/est/ | /est/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
guest | expressed," Inoffensive, welcome guest! ",o3794-l32485,"Thus thy praise shall be exprest,",o3794-l32480,/est/ | /est/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
scout | snout,"While the rat is on the scout,",o3794-l32490," And the mouse with curious snout,",o3794-l32495,/aʊt/ | /aʊt/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
snout | scout," And the mouse with curious snout,",o3794-l32495,"While the rat is on the scout,",o3794-l32490,/aʊt/ | /aʊt/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
infest | best, With what vermin else infest,o3794-l32500, Every dish and spoil the best;,o3794-l32505,/est/ | /est/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
best | infest, Every dish and spoil the best;,o3794-l32505, With what vermin else infest,o3794-l32500,/est/ | /est/,full,<b>a</b><b>a</b>,pers00270;pers00269,o3794-w0330
