r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
am | name,"PEACE, doubting Heart — my GOD's I am! ",o3900-l17760," The LORD hath call'd me by my Name,",o3900-l17770,/æm/ | /eɪm/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
fear | near,Who form'd me Man forbids my Fear:,o3900-l17765, The LORD protects for ever near:,o3900-l17775,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
name | am," The LORD hath call'd me by my Name,",o3900-l17770,"PEACE, doubting Heart — my GOD's I am! ",o3900-l17760,/eɪm/ | /æm/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
near | fear, The LORD protects for ever near:,o3900-l17775,Who form'd me Man forbids my Fear:,o3900-l17765,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
atone | own," His Blood for Me did once attone,",o3900-l17780," And still he loves, and guards his own. ",o3900-l17785,/əʊn/ | /əʊn/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
own | atone," And still he loves, and guards his own. ",o3900-l17785," His Blood for Me did once attone,",o3900-l17780,/əʊn/ | /əʊn/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
deep | keep,When passing thro' the Watry Deep,o3900-l17790," The Waves an awful Distance keep,",o3900-l17800,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
aid | head," I ask in Faith his promis'd Aid,",o3900-l17795, And shrink from my devoted Head:,o3900-l17805,/eɪd/ | /ed/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
keep | deep," The Waves an awful Distance keep,",o3900-l17800,When passing thro' the Watry Deep,o3900-l17790,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
head | aid, And shrink from my devoted Head:,o3900-l17805," I ask in Faith his promis'd Aid,",o3900-l17795,/ed/ | /eɪd/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
dare | there, Fearless their Violence I dare:,o3900-l17810," They cannot harm, for GOD is there! ",o3900-l17815,/eə/ | /eə/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
there | dare," They cannot harm, for GOD is there! ",o3900-l17815, Fearless their Violence I dare:,o3900-l17810,/eə/ | /eə/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
turn | burn,"To Him my Eye of Faith I turn,",o3900-l17820," The Fire forgets its Pow'r to burn,",o3900-l17830,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
way | play, And thro' the Fire pursue my Way;,o3900-l17825, The lambent Flames around me play:,o3900-l17835,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
burn | turn," The Fire forgets its Pow'r to burn,",o3900-l17830,"To Him my Eye of Faith I turn,",o3900-l17820,/ɜːn/ | /ɜːn/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
play | way, The lambent Flames around me play:,o3900-l17835, And thro' the Fire pursue my Way;,o3900-l17825,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
sign | mine," I own his Pow'r, accept the Sign,",o3900-l17840, And shout to prove the Saviour Mine. ,o3900-l17845,/aɪn/ | /aɪn/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
mine | sign, And shout to prove the Saviour Mine. ,o3900-l17845," I own his Pow'r, accept the Sign,",o3900-l17840,/aɪn/ | /aɪn/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
stand | hand,"Still nigh me, O my Saviour, stand,",o3900-l17850," Hide in the Hollow of thy Hand,",o3900-l17860,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
hour | power, And guard in fierce Temptation's Hour;,o3900-l17855, Shew forth in me thy Saving Pow'r. ,o3900-l17865,/æə/ | /aʊə/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
hand | stand," Hide in the Hollow of thy Hand,",o3900-l17860,"Still nigh me, O my Saviour, stand,",o3900-l17850,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
power | hour, Shew forth in me thy Saving Pow'r. ,o3900-l17865, And guard in fierce Temptation's Hour;,o3900-l17855,/aʊə/ | /æə/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
defence | thence,"Still be thy Arm my sure Defence,",o3900-l17870, Nor Earth nor Hell shall pluck me thence. ,o3900-l17875,/ens/ | /ens/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
thence | defence, Nor Earth nor Hell shall pluck me thence. ,o3900-l17875,"Still be thy Arm my sure Defence,",o3900-l17870,/ens/ | /ens/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
thee | sea,"Since Thou hast bid me come to Thee,",o3900-l17880," I'll walk o'er Life's tempestuous Sea,",o3900-l17890,/iː/ | /iː/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
save | wave, (Good as Thou art and strong to save),o3900-l17885, Upborn by the unyielding Wave;,o3900-l17895,/eɪv/ | /eɪv/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
sea | thee," I'll walk o'er Life's tempestuous Sea,",o3900-l17890,"Since Thou hast bid me come to Thee,",o3900-l17880,/iː/ | /iː/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
