dim,id,label,poems,authors
form,epitaph,epitaph,41,22
form,answer,answer/reply,41,27
form,chevy-chase,Chevy Chase stanza,38,21
form,meditation,meditation,34,18
form,panegyric,panegyric,34,22
form,lyric,lyric,32,9
form,inscription,inscription,28,18
form,fragment,fragment,27,15
form,lament,lament,27,17
form,allegory,allegory,27,14
form,comic,comic verse,26,19
form,eclogue,eclogue,25,8
form,ItalianSonnet,Italian (Petrarchan) sonnet,25,3
form,tale,tale,20,4
form,advice,advice,20,15
form,philosophic,philosophic poetry,19,11
form,prospect,prospect poem / topographical poem,19,17
form,dreamvision,dream vision,18,15
form,alexandrine,alexandrine,15,12
form,riddle,riddle,15,8
form,drama,drama,15,9
form,dedication,dedication,14,9
form,eulogy,eulogy,14,11
form,epilogue,epilogue,14,12
form,pindaric,Pindaric ode,14,5
form,georgic,georgic,14,8
form,spenser,Spenserian stanza,13,10
form,character,character,13,10
form,graveyard,graveyard school,13,4
form,refrain,refrain,11,8
form,prologue,prologue,11,9
form,mockheroic,mock heroic,11,9
form,complaint,complaint,10,7
form,admonition,admonition,10,6
form,epithalamion,epithalamion,9,8
form,prayer,prayer,8,7
form,topical,topical verse,7,4
form,ossian,Ossianic verse,7,2
form,apology,apology,7,2
form,prophecy,prophecy,6,3
form,monody,monody,5,3
form,burlesque,burlesque,5,4
form,wish,wish poem,5,5
form,parody,parody,5,5
form,thing-poem,thing-poem,5,5
form,distich,distich,4,3
form,songtodavidstanza,Song to David-stanza,4,2
form,psalm,psalm,4,3
form,milton,Miltonic verse,3,2
form,elegiacstanza,elegiac stanza,3,2
form,extract,extract/snippet from longer work,3,3
form,compliment,compliment,3,3
form,mockepitaph,mock epitaph,3,3
form,anacreontic,anacreontic,3,2
form,epic,epic,2,2
form,beasttale,beast tale,2,2
form,receipt,receipt / recipe,2,2
form,mockelegy,mock elegy,2,2
form,acrostic,acrostic,2,1
form,lampoon,lampoon,1,1
form,countryhouse,Country House poem,1,1
form,prose,prose poem,1,1
form,masque,masque,1,1
form,cento,cento,1,1
form,,(unclassified),236,72
syllab,10,10,1227,219
syllab,8,8,532,141
syllab,8.8.8.8,8.8.8.8,343,85
syllab,8.6.8.6,8.6.8.6,318,77
syllab,10.10.10.10,10.10.10.10,183,81
syllab,8.8.6.8.8.6,8.8.6.8.8.6,91,49
syllab,8.8.8.8.8.8.8.8,8.8.8.8.8.8.8.8,63,27
syllab,8.8.8.8.8.8,8.8.8.8.8.8,60,30
syllab,12,12,48,29
syllab,12.12.12.12,12.12.12.12,44,25
syllab,8.7.8.7,8.7.8.7,31,21
syllab,7,7,29,18
syllab,12.9.12.9,12.9.12.9,22,15
syllab,10.10.10.10.10.10,10.10.10.10.10.10,20,15
syllab,8.6.8.6.8.6.8.6,8.6.8.6.8.6.8.6,19,14
syllab,8.8.8.4.8.4,8.8.8.4.8.4,17,2
syllab,10.10.10.10.10.10.10.10.12,10.10.10.10.10.10.10.10.12,16,9
syllab,12.12.12.12.12.12,12.12.12.12.12.12,16,12
syllab,7.7.7.7,7.7.7.7,15,11
syllab,9.9.9.9.9.9.9.9,9.9.9.9.9.9.9.9,13,10
syllab,8.8.8.8.10.10,8.8.8.8.10.10,11,9
syllab,11.11.11.11,11.11.11.11,10,7
syllab,10.10.10.10.10.10.10.10,10.10.10.10.10.10.10.10,10,7
syllab,9.9.9.9,9.9.9.9,10,9
syllab,8.6.8.8.6,8.6.8.8.6,9,3
syllab,12.12.12.12.12.12.12.12,12.12.12.12.12.12.12.12,9,5
syllab,8.8.8.8.10.12,8.8.8.8.10.12,8,4
syllab,8.7.8.7.8.7.8.7,8.7.8.7.8.7.8.7,8,4
syllab,6.6.8.8.8.8,6.6.8.8.8.8,8,1
syllab,8.6.8.6.8.8,8.6.8.6.8.8,7,5
syllab,8.8.8.8.8.6,8.8.8.8.8.6,7,4
syllab,11,11,6,6
syllab,8.6.8.6.8.8.8.8.8.6,8.6.8.6.8.8.8.8.8.6,6,2
syllab,9.8.9.8,9.8.9.8,6,5
