poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
cbu86-w0080,pers00307,iamb,tetrameter|dimeter,sestet,tail,8.8.8.4.8.4,address,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+/ -+|-+|-+|-+/ -+|-+/,aaabab,174
bjb18-w0210,pers00287,iamb,tetrameter,quatrain,cross,8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,24
oat77-w0590,pers00344,iamb,,couplet,pair,10.8,,-+|-+|-+|-+|-+/ -+|-+|-+|-+/,aa,12
pmt18-w0180,pers00320,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbacddceffegg,14
o5155-w0870,pers00142,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,18
glb19-w0540,pers00352,iamb,pentameter,,,10,monody,-+|-+|-+|-+|-+/,,178
o4985-w0390,pers00033,iamb,pentameter|hexameter,nine-line,,10.10.10.10.10.10.10.10.12,alexandrine|spenser|imitation,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,ababbcbcc,288
o4103-w0340,pers00254,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,54
bah18-w0180,pers00281,iamb,pentameter|hexameter,quatrain,pair,10.10.10.12,ode,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,aabb,16
bed98-w0210,pers00340,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,sonnet,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,16
n22cs-w0010,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefgg,14
o5153-w0530,pers00038,iamb,tetrameter|pentameter|hexameter,sestet,,8.8.8.8.10.12,ode,-+|-+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+|-+/,ababcc,60
yfs88-w0020,pers00318,iamb,pentameter,couplet,pair,10,heroiccouplet|narrative,-+|-+|-+|-+|-+/,aa,222
o4784-w0800,pers00268,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle,-+|-+|-+|-+|-+/,aa,30
o5156-w0710,pers00146,trochee,tetrameter,couplet,pair,7,hymn,+-|+-|+-|+/,aa,140
bed98-w0680,pers00340,iamb,tetrameter,quatrain,cross,8.8.8.8,hymn,-+|-+|-+|-+|-/ -+|-+|-+|-+/ -+|-+|-+|-+|-/ -+|-+|-+|-+/,abab,16
n22cs-w0480,pers00290,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,ababcdcdefefgg,14
o5154-w0310,pers00112,iamb,pentameter,couplet,pair,10,heroiccouplet|character|satire,-+|-+|-+|-+|-+/,aa,101
pma99-w0030,pers00306,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,fable,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,88
o5156-w0380,pers00120,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,67
o5156-w1060,pers00133,iamb,tetrameter,couplet,pair,8,epigram,-+|-+|-+|-+/,aa,10
o4986-w0860,pers00200,iamb,pentameter,quatrain,intermittent,10.10.10.10,elegy,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,xaxa,20
o5280-w0300,pers00277,trochee,tetrameter,couplet,pair,8,,+-|+-|+-|+-/,aa,12
ayo19-w0040,pers00267,iamb,pentameter,,,10,blankverse|meditation|graveyard,-+|-+|-+|-+|-+/,,842
o3900-w0580,pers00309,iamb,tetrameter,octet,cross,8.8.8.8.8.8.8.8,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,ababcdcd,120
