poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
o5280-w0150,pers00277,iamb,pentameter,couplet,pair,10,elegy,-+|-+|-+|-+|-+/,aa,20
o5156-w1230,pers00108,iamb,tetrameter,couplet,pair,8,epigram|imitation|translation|paraphrase,-+|-+|-+|-+/,aa,13
o5247-w0110,pers00295,iamb,tetrameter,quatrain,cross,8.8.8.8,address|ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,32
pma99-w0260,pers00306,iamb,tetrameter|trimeter,quatrain,intermittent,8.6.8.6,hymn,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,xaxa,12
o5154-w0140,pers00042,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle,-+|-+|-+|-+|-+/,aa,376
pba35-w0210,pers00087,iamb,tetrameter|trimeter,quatrain,,8.6.8.6,address,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,,12
o4985-w0550,pers00057,iamb,tetrameter|trimeter|pentameter,,,,inscription,irregular,abacccbddeeffgghihkki,21
o5454-w0300,pers00292,iamb,tetrameter,quatrain,pair,8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,4
glb19-w0380,pers00352,iamb,pentameter,,,10,sonnet,-+|-+|-+|-+|-+/,abbabbaacdcdcd,14
glb19-w1060,pers00352,iamb,pentameter,couplet,pair,10,narrative,-+|-+|-+|-+|-+/,aa,2206
oat77-w0350,pers00344,iamb,pentameter,couplet,pair,10,epigram,-+|-+|-+|-+|-+/,aa,12
bjl92-w0560,pers00338,iamb,pentameter,couplet,pair,10,tale,-+|-+|-+|-+|-+/,aa,62
bsb18-w0370,pers00280,anapaest,tetrameter|trimeter,quatrain,cross,12.9.12.9,song,--+|--+|--+|--+/ --+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+/,abab,20
bjb18-w0040,pers00287,iamb,tetrameter|pentameter|hexameter,sestet,pair,8.8.8.8.8.12,address,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+||-+|-+|-+/,aabbcc,144
pmc36-w0060,pers00325,iamb,tetrameter,quatrain,cross,8.8.8.8,address,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,20
pba35-w0680,pers00087,iamb,tetrameter,quatrain,pair,8.8.8.8,epigram,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,aabb,4
o4103-w0110,pers00254,iamb,tetrameter|pentameter|hexameter,sestet,tail,8.10.8.10.10.12,ode,-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+|-+/,ababcc,36
ppo24-w0040,pers00257,iamb,pentameter,couplet,pair,10,heroiccouplet|epistle|panegyric,-+|-+|-+|-+|-+/,aa,145
