r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sense,When this shall your Reason convince,oau90-l02610,How vainly you lavish your Sense.,oau90-l02620,/ɪns/ | /ens/,half-pararhyme,ababc<b>d</b>c<b>d</b>,pers00350,oau90-w0050
innosence, Injoyn me any thing that may convince,o4885-l03690," Of my Flames Durance, and its Innosence,",o4885-l03695,/ɪns/ | /əʊsəns/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
pretence," Tis Boyle, not thee, that must the World convince;",pse03-l01640," But stop my Pen, blush at thy weak pretence,",pse03-l01635,/ɪns/ | /ens/,half-pararhyme,<b>a</b><b>a</b>a,pers00272,pse03-w0030
providence," Tis Boyle, not thee, that must the World convince;",pse03-l01640, Boyle the great Champion of Providence. ,pse03-l01645,/ɪns/ | /ɒvɪdns/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00272,pse03-w0030
prince," And told such lies, all to convince",o4899-l02190, The brain of our distemper'd prince;,o4899-l02195,/ɪns/ | /ɪns/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
