r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
thump," Glumpaty, glumpaty, glump;",o4221-l00020," Thumpaty, thumpaty, thump;",o4221-l00010,/ʌmp/ | /ʌmp/,full,x<b>a</b>b<b>a</b>xaba,pers00329,o4221-w0010
dump," Glumpaty, glumpaty, glump;",o4221-l00020," Dumpaty, dumpaty, dump;",o4221-l00030,/ʌmp/ | /ʌmp/,full,xab<b>a</b>x<b>a</b>ba,pers00329,o4221-w0010
slump," Glumpaty, glumpaty, glump;",o4221-l00020," Slumpaty, slumpaty, slump. ",o4221-l00040,/ʌmp/ | /ʌmp/,full,xab<b>a</b>xab<b>a</b>,pers00329,o4221-w0010
