r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fault,"Doth a man stutter, look a-squint, or halt;",o4600-l01405, Mimics draw humour out of Nature's fault:,o4600-l01410,/ɒlt/ | /ɔːlt/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o4600-w0010
vault,"They said, and without farther halt,",o3552-l05915, Dauntless march'd onward to the VAULT. ,o3552-l05920,/ɒlt/ | /ɔːlt/,half-pararhyme,<b>a</b><b>a</b>,pers00155,o3552-w0010
fault,"This was the tale where'er I made a halt,",bsb18-l03700, And greater houses grew upon the fault;,bsb18-l03705,/ɒlt/ | /ɔːlt/,half-pararhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0010
salt,The liquorish youth had made an halt;,o5156-l07275,And left the pepper-box and salt,o5156-l07280,/ɒlt/ | /ɔːlt/,half-pararhyme,<b>a</b><b>a</b>,pers00142,o5156-w0300
