r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
preyce," Upon my word, says I, it's reyce. ",bsb18-l27865, Our Jwohn's wad bear a duced preyce;,bsb18-l27855,/eɪs/ | /eɪs/,full,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0590
niece,"Tou says what's wrang, says I, it's reyce. ",bsb18-l27885," ""The broth is guid and varra neyce;",bsb18-l27875,/eɪs/ | /eɪs/,full,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0590
niece, And hates the varra neame o' reyce. ,bsb18-l27965, The Sunday cap's nae langer neyce;,bsb18-l27955,/eɪs/ | /eɪs/,full,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0590
