r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
eye, Such as in gentle radiance might outvie,yfs88-l02055, The melting lustre of the sparkling eye;,yfs88-l02060,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
fly,"In melting softness I thy doves outvie,",o5157-l19490,Then teach me like thy swans to sing and fly;,o5157-l19495,/aɪ/ | /aɪ/,full,<b>a</b><b>a</b>,pers00114,o5157-w0280
