r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
taught,"And Edward form'd his Cressy, yet unfought;",o5152-l02515,"Where the fifth Henry arts and arms was taught,",o5152-l02510,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
thought, His Bosom glow'd with Battels yet unfought:,o3499-l00350, Forming the Wond'rous Year within his Thought;,o3499-l00345,/ɔːt/ | /ɔːt/,full,<b>a</b><b>a</b>,pers00150,o3499-w0010
