r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rased, And thou a worshipper e'en where thou mayst;,o3794-l11285," Thy temple, once thy glory, fall'n and ras'd,",o3794-l11280,/eɪst/ | /eɪzd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
chaste," Thyself meanwhile e'en shifting as thou may'st,",o3795-l29985," Not very sober though, nor very chaste;",o3795-l29990,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
