r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
stole, And in His Book of Life the Inmates poor enroll. ,cbu86-l10605," The pompous strain, the sacredotal stole;",cbu86-l10590,/əʊl/ | /əʊl/,full,ababb<b>c</b>bc<b>c</b>,pers00307,cbu86-w0130
soul, And in His Book of Life the Inmates poor enroll. ,cbu86-l10605," May hear, well pleas'd, the language of the Soul;",cbu86-l10600,/əʊl/ | /əʊl/,full,ababbcb<b>c</b><b>c</b>,pers00307,cbu86-w0130
control, And proudly bid immortal fame enrol,pmt18-l12350, Led willing captive to their high control:,pmt18-l12340,/əʊl/ | /əʊl/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0024
