r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
oration," And warbling out his approbation,",o3794-l31510,"The songster heard his short oration,",o3794-l31505,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00269,o3794-w0250
education," Had pass'd, with general approbation,",o3982-l00015, The modish forms of Education;,o3982-l00020,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
vociferation," And tell when we ought to express Approbation,",o3364-l04820," By thumping, and clapping, and Vociferation;",o3364-l04825,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
deliberation, It met with Reason's approbation:,o4986-l19025," Were best if, on deliberation,",o4986-l19020,/eɪʃn/ | /eɪʃn/,full,<b>a</b><b>a</b>,pers00210,o4986-w0410
