r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shores," Each wasted province he deplores,",o5089-l23590,But see! upon his utmost shores,o5089-l23580,/ɔːz/ | /ɔːz/,full,<b>a</b>b<b>a</b>bcc,pers00054,o5089-w0480
shores, To find the Object which This Verse deplores;,pmp18-l17630, If Thou may'st happen on the dreary Shoars,pmp18-l17625,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0560
shores, And William's Death with lessen'd Grief deplores. ,pmp18-l18705,Belgia receives Him welcome to her Shores;,pmp18-l18700,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0580
doors,"The Chance of War whilst he deplores,",o4784-l17475, And dines at Charitable Doors;,o4784-l17480,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0550
