r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
speaks," And, as the Prompter breathes, the Puppet squeaks;",o3674-l01570,"Whether in florid Impotence he speaks,",o3674-l01565,/iːks/ | /iːks/,full,<b>a</b><b>a</b>,pers00012,o3674-w0010
speaks,In shriller notes Q like a female squeaks.,tgaen-l11680,K as a man with hoarser accent speaks;,tgaen-l11675,/iːks/ | /iːks/,full,<b>a</b><b>a</b>,pers00039,tgaen-wchcc
