r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grieved," Of Eggs unhatch'd, or callow Young bereav'd,",pdi22-l06140, In ruthful Cries has told how much She griev'd. ,pdi22-l06145,/iːvd/ | /iːvd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
grieved," ""By a false Guardian of our wealth bereav'd —",o4739-l02475," ""His Sister I; an orphan'd pair, we griev'd",o4739-l02465,/iːvd/ | /iːvd/,full,<b>a</b>b<b>a</b>b,pers00284,o4739-w0120
lived,"Scarce tasting Life, He was of Joy bereav'd:",pmp18-l49765," One Day, I think, in Paradise He liv'd;",pmp18-l49770,/iːvd/ | /ɪvd/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1110
