r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
notion," Or ony stronger potion,",cbu86-l03700," To kittle up our notion,",cbu86-l03710,/əʊʃn/ | /əʊʃn/,full,ababc<b>d</b>c<b>d</b>x,pers00307,cbu86-w0040
notion, Is scarce remov'd by Pill or Potion;,pmp18-l12460, What-e'er might be our Doctor's Notion. ,pmp18-l12465,/əʊʃn/ | /əʊʃn/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0470
motion," In English to say, we must swallow a Potion",o3364-l00810, For driving out Wind after every Motion;,o3364-l00815,/əʊʃn/ | /əʊʃn/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
