r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
procul," Woods, mountains, rivers render vocal;",o5089-l31610,"How sweetly you, Negotio procul,",o5089-l31605,/əʊkl/ | /ɒkʌl/,half-pararhyme,<b>a</b><b>a</b>,pers00094,o5089-w0670
all,"Memnon, tho' Stone, was counted vocal;",pmp18-l01420," But 'twas the God, mean while, that spoke all. ",pmp18-l01425,/əʊkl/ | /ɔːl/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0050
