r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fire, And shuffle ourselves and our chairs a bit nigher;,peh89-l10895," With shrugs and with shivers all look at the fire,",peh89-l10890,/aɪər/ | /æə/,half-pararhyme,<b>a</b><b>a</b>,pers00324,peh89-w0330
fire," Tells t'other, He can come no nigher. ",pmp18-l06300," Says Mars, thro' Cannons Mouths in Fire;",pmp18-l06290,/aɪər/ | /æə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0220
fire," And draws the wand'ring beauty nigher,",cac95-l11660,"Now winter lights its chearful fire,",cac95-l11650,/aɪər/ | /æə/,half-pararhyme,<b>a</b>b<b>a</b>bxcxc,pers00301,cac95-w0210
