r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
her, Wha had some siller;,prc90-l03460, I'll wi' them till her. ,prc90-l03475,/ɪlər/ | /ɜː/,half-pararhyme,aa<b>b</b>cc<b>b</b>,pers00328,prc90-w0210
her,"But Sandy, lass, ye ken fu' weel, car'd nought but for her siller;",bsb18-l31560, 'Twas love of goud and glittering show that ay band him till her;,bsb18-l31565,/ɪlər/ | /ɜː/,half-pararhyme,<b>a</b><b>a</b>bb,pers00280,bsb18-w0800
