r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
downs, And the proud Minxes of the Market-Towns;,o5125-l25375,"AS some grave Matron bred on rural Downs,",o5125-l25365,/ɑːkɪttaʊnz/ | /aʊnz/,half-vowelrhyme,<b>a</b>a<b>a</b>,pers00154,o5125-w0670
frowns, And the proud Minxes of the Market-Towns;,o5125-l25375," Who at the mention of a Top-knot frowns,",o5125-l25370,/ɑːkɪttaʊnz/ | /aʊnz/,half-vowelrhyme,a<b>a</b><b>a</b>,pers00154,o5125-w0670
