r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
doors, The blazing Roofs enlighten all the Floors:,o5125-l15375," In four broad Arches spread the shining Doors,",o5125-l15370,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0400
doors,The corn lay mouldy on the floors;,o5154-l13810,"The walls were crack'd, decay'd the doors,",o5154-l13805,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00091,o5154-w0200
hours, And marks a shining Path along the Floors,o4672-l15340, Bounding the Evening and the Morning Hours;,o4672-l15345,/ɔːz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00292,o4672-w0680
