r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
looks, His Jaws display tenacious Rows of Hooks. ,pdi22-l01775," An Eel-like clinging Kind, of dusky Looks;",pdi22-l01770,/ʊks/ | /ʊks/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
brooks," Pistols are here, unpair'd; with nets and hooks,",pcr18-l09905," Of every kind, for rivers, ponds, and brooks;",pcr18-l09910,/ʊks/ | /ʊks/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
books,""" By all thy boasted skill and baffled hooks,",pcr18-l20960," ""Thou gain'st no more than students by their books",pcr18-l20965,/ʊks/ | /ʊks/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0050
