r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
billy," True Campbells, Frederick an' Ilay;",cbu86-l02290,"Erskine, a spunkie norland billie;",cbu86-l02285,/ɪleɪ/ | /ɪli/,half-pararhyme,<b>a</b><b>a</b>abab,pers00307,cbu86-w0030
willie," True Campbells, Frederick an' Ilay;",cbu86-l02290," An' Livistone, the bauld Sir Willie;",cbu86-l02295,/ɪleɪ/ | /ɪli/,half-pararhyme,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0030
tully," True Campbells, Frederick an' Ilay;",cbu86-l02290, Whom auld Demosthenes or Tully,cbu86-l02305,/ɪleɪ/ | /ʌli/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0030
