r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lazy," Tho' deil-haet ails them, yet uneasy;",cbu86-l01060,"They loiter, lounging, lank an' lazy;",cbu86-l01055,/iːzi/ | /eɪzi/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0010
you, Or ever make one Soul uneasy. —,o3364-l00505," If unprovok'd, will ne'er displease ye,",o3364-l00500,/iːzi/ | /iː/,half-vowelrhyme,<b>a</b><b>a</b>,pers00205,o3364-w0010
