r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
repartee, And penn'd a paragraph most daintily:,o5089-l15095," Amorous, tho' old; tho' dull, lov'd repartee;",o5089-l15090,/eɪntli/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00172,o5089-w0230
still," Thou seemest to raise right daintily,",bjb18-l13190," Turning it oft, as if thou still",bjb18-l13195,/eɪntli/ | /ɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0250
