r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
ranged, Believ'd the chicken much deranged;,pik94-l07300," The serving birds, in order ranged,",pik94-l07295,/eɪndʒd/ | /eɪndʒd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
estranged," Their beauteous plumage all deranged,",pik94-l07740," Their virtues hid, their friends estranged;",pik94-l07745,/eɪndʒd/ | /eɪndʒd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
changed," Where trunks are missing or deranged,",bjb18-l20090, And parcels lost and horses changed. ,bjb18-l20095,/eɪndʒd/ | /eɪndʒd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0460
