r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
endued,"Firm constancy, undaunted fortitude,",o5154-l01830,The heav'nly maid; with strength divine endu'd,o5154-l01820,/ɔːtɪtʃuːd/ | /uːd/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcdee,pers00031,o5154-w0050
viewed, The noblest height of human fortitude;,cer72-l01865,'Twas there the wond'ring sun in Abram view'd,cer72-l01860,/ɔːtɪtʃuːd/ | /uːd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
