r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sits," And to another's Skill submits,",pmp18-l36795,"The Man within the Coach that sits,",pmp18-l36790,/ɪts/ | /ɪts/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
fits," She never slavishly submits,",ojg27-l03215," She'll have her will, or have her fits;",ojg27-l03220,/ɪts/ | /ɪts/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0130
sits," Scorns poor Defect, and to no Fault submits;",ppo24-l10870," There ev'ry Charm in lofty Triumph sits,",ppo24-l10865,/ɪts/ | /ɪts/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0130
wits," He that in Blind Dependence now submits,",o4299-l02560," Will rouse his Strength, when he shall rouse his Wits;",o4299-l02565,/ɪts/ | /ɪts/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
