r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
crump," Numpaty, Numpaty, nump. ",o4221-l00100," Crumpaty, crumpaty, crump;",o4221-l00090,/ʌmp/ | /ʌmp/,full,a<b>b</b>a<b>b</b>cbcb,pers00329,o4221-w0010
hump," Numpaty, Numpaty, nump. ",o4221-l00100," Humpaty, humpaty, hump;",o4221-l00110,/ʌmp/ | /ʌmp/,full,aba<b>b</b>c<b>b</b>cb,pers00329,o4221-w0010
plump," Numpaty, Numpaty, nump. ",o4221-l00100," Plumpaty, plumpaty, plump. ",o4221-l00120,/ʌmp/ | /ʌmp/,full,aba<b>b</b>cbc<b>b</b>,pers00329,o4221-w0010
