r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sought,Asking who'd venture ore the mounds to vau't,o5154-l03165,At bruite of their great happiness; and sought,o5154-l03150,/ɔːt/ | /ɔːt/,full,a<b>b</b>ab<b>b</b>cbcc,pers00022,o5154-w0070
thought,Asking who'd venture ore the mounds to vau't,o5154-l03165,"Her sons, and op'd what rankled in her thought;",o5154-l03160,/ɔːt/ | /ɔːt/,full,aba<b>b</b><b>b</b>cbcc,pers00022,o5154-w0070
nought,Asking who'd venture ore the mounds to vau't,o5154-l03165,"Of blissful Venus, or to bring to nought",o5154-l03175,/ɔːt/ | /ɔːt/,full,abab<b>b</b>c<b>b</b>cc,pers00022,o5154-w0070
