r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
breeding, Have these been Times for such Proceeding? ,o4784-l12420,"Fool, quoth the Churl, who knew no Breeding;",o4784-l12415,/iːdɪŋ/ | /iːdɪŋ/,full,<b>a</b><b>a</b>,pers00268,o4784-w0370
breeding,"Life squares not, friends, with your proceeding:",o5156-l05160,"It flies, while you display your breeding;",o5156-l05165,/iːdɪŋ/ | /iːdɪŋ/,full,<b>a</b><b>a</b>,pers00035,o5156-w0150
