r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
shade,By measure and by rule it was out-lay'd;,o5155-l01810,"That plot to plot still answer'd, shade to shade;",o5155-l01820,/eɪd/ | /eɪd/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5155-w0030
arrayed,By measure and by rule it was out-lay'd;,o5155-l01810,Each correspondent twain alike array'd,o5155-l01825,/eɪd/ | /eɪd/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5155-w0030
played,By measure and by rule it was out-lay'd;,o5155-l01810,"Of statues, vases, spouting founts, that play'd",o5155-l01835,/eɪd/ | /eɪd/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5155-w0030
