r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
matching,Well worth a Lady's pains in catching;,n12jt-l02970,"A Coxcomb, past all mortal matching,",n12jt-l02965,/ætʃɪŋ/ | /ætʃɪŋ/,full,<b>a</b><b>a</b>,pers00356,n12jt-w0010
speeching," Bid them be of good Cheer, the Disease was not catching;",pba35-l01850," Till a Neighbour of mine, who was famous for Speeching,",pba35-l01845,/ætʃɪŋ/ | /iːtʃɪŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w0090
