r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
allied,"What murder'd Wentworth, and what exil'd Hyde,",o5155-l17455,"By kings protected, and to kings ally'd?",o5155-l17460,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00029,o5155-w0220
pride, Thou too hast seen a Solon in a Hyde;,o4984-l25935,"Recall thy wonted worth with conscious pride,",o4984-l25930,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
died," Mecænas, Sackville, Socrates, and Hyde:",pmp18-l17385, Judges of Writings and of Men have dy'd;,pmp18-l17380,/aɪd/ | /aɪd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0560
