r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
found,Such censures as these to my credit redound;,o5157-l19400,"When ven'son and claret are not to be found,",o5157-l19410,/aʊnd/ | /aʊnd/,full,<b>a</b>b<b>a</b>b,pers00114,o5157-w0270
round,"As it pleases your mind, to your health 'twill redound.",o5152-l41125,"Let this be indulg'd, and let laughter go round;",o5152-l41120,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>,pers00014,o5152-w0400
found,It will much more redound,o5157-l28010,"To our praise to be found,",o5157-l28015,/aʊnd/ | /aʊnd/,full,<b>a</b><b>a</b>bccb,pers00128,o5157-w0470
