r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
drive at,"Nor had the art to keep it private,",n12jt-l03035,Dick soon found what she meant todrive at.,n12jt-l03040,/aɪvɪt/ | /aɪvætdraɪvæt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00356,n12jt-w0010
at, The Publick Welfare in your Private:,pmp18-l01855, Are in no Plots; but fairly drive at,pmp18-l01850,/aɪvɪt/ | /æt/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0050
arrive at,"Till when, let those converse in private,",o4784-l12670, Who taste what others don't arrive at;,o4784-l12675,/aɪvɪt/ | /aɪvæt/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0370
