r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sin, To weep a broken Shin. ,pjo50-l10205, Does penance for her sin;,pjo50-l10195,/ɪn/ | /ɪn/,full,a<b>b</b>a<b>b</b>,pers00273,pjo50-w0410
within, Bedaub'd from Head to Shin;,o3452-l01015, But not a souse within:,o3452-l01025,/ɪn/ | /ɪn/,full,x<b>a</b>x<b>a</b>,pers00329,o3452-w0020
