r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
meats,"Not for himself he sees, or hears, or eats;",o3689-l00025," Artists must chuse his Pictures, Music, Meats:",o3689-l00030,/iːts/ | /iːts/,full,<b>a</b><b>a</b>,pers00012,o3689-w0010
meats, He Eats more than Six; and Drinks more than he Eats. ,pmp18-l19590,"Frank Carves very ill, yet will palm all the Meats:",pmp18-l19585,/iːts/ | /iːts/,full,<b>a</b><b>a</b>bbccc,pers00314,pmp18-w0650
