r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
brent,"This sated, sullen, apt for bickerment;",o5154-l02585,"That flies before, with scorching flames ybrent;",o5154-l02595,/ɪkəmənt/ | /ɪbrənt/,half-vowelrhyme,ababb<b>c</b>b<b>c</b>c,pers00022,o5154-w0070
discontent,"This sated, sullen, apt for bickerment;",o5154-l02585,This foll'wing douts those flames with peevish discontent.,o5154-l02600,/ɪkəmənt/ | /ent/,half-pararhyme,ababb<b>c</b>bc<b>c</b>,pers00022,o5154-w0070
