r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
see,"With fruits and blossoms meint, in goodly gree;",o5154-l02450,"Sick gardens now no mortal wight can see,",o5154-l02460,/iː/ | /iː/,full,ababb<b>c</b>b<b>c</b>c,pers00022,o5154-w0070
be,"With fruits and blossoms meint, in goodly gree;",o5154-l02450,Ne mote they in my simple verse descriven be.,o5154-l02465,/iː/ | /iː/,full,ababb<b>c</b>bc<b>c</b>,pers00022,o5154-w0070
