r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
quaffed,"Fam'd for the javelin, and invenom'd shaft;",o5152-l01145,"Chiefs who full bowls of hostile blood had quaff'd,",o5152-l01140,/ɑːft/ | /ɒft/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0010
laughed," Snapp'd with illumin'd hands each flaming shaft,",o4671-l02085," His tingling fingers shook, and stamp'd, and laugh'd;",o4671-l02090,/ɑːft/ | /ɑːft/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
