r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
steer," But that once lost, towards St. James's veer;",pjo50-l07075,"By You, my Polar Star, awhile I steer,",pjo50-l07070,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0220
steer, Till Fate allows no time to veer. ,o4091-l22730, Point out the course it ought to steer;,o4091-l22720,/ɪə/ | /ɪə/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
steer,"To whate'er point the breeze inconstant veer,",bjb18-l20810, Still doth thy careless helmsman onward steer;,bjb18-l20815,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
