r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
winter-plumes," Beauty every thing resumes,",o4784-l03015, Birds have dropt their Winter-Plumes;,o4784-l03020,/uːmz/ | /uːmz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0080
dooms," God's cancell'd Grace her rage resumes,",o4987-l17410," The crime rejudg'd, the man she dooms;",o4987-l17415,/uːmz/ | /uːmz/,full,<b>a</b><b>a</b>,pers00203,o4987-w0580
