r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
wept, The gloomy spectre by me swept;,bah18-l03220, And with indignant sorrow wept. ,bah18-l03230,/ept/ | /ept/,full,a<b>b</b>a<b>b</b>ccdd,pers00281,bah18-w0140
wept," Six lovely daughters, and their father, swept",o4671-l19580," To the throng'd grave CLEONE saw, and wept;",o4671-l19585,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
slept, The house too's neither brusht nor swept. ,pjo50-l08610," My pewter on the shelves have slept,",pjo50-l08605,/ept/ | /ept/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0290
