r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
taxes," While Terra firma, on her axis,",cbu86-l17015,While Highlandmen hate tolls an' taxes;,cbu86-l17005,/æksɪs/ | /æksiːz/,half-pararhyme,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0290
braxies," While Terra firma, on her axis,",cbu86-l17015," While moorlan herds like guid, fat braxies;",cbu86-l17010,/æksɪs/ | /eɪksɪz/,half-pararhyme,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0290
practise," While Terra firma, on her axis,",cbu86-l17015," Count on a friend, in faith an' practice,",cbu86-l17025,/æksɪs/ | /æktɪs/,half-vowelrhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0290
