r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
happy,An' whyles twalpennie-worth o' nappy,cbu86-l00595, Can mak the bodies unco happy;,cbu86-l00600,/æpi/ | /æpi/,full,<b>a</b><b>a</b>,pers00307,cbu86-w0010
happy, And we know it gives Joy on a Bottle of Nappy. ,pba35-l14505," If Froth can delight you, you're wonderous happy;",pba35-l14500,/æpi/ | /æpi/,full,<b>a</b><b>a</b>,pers00087,pba35-w1130
happy," As Drunkard o'er his Jug of Nappy,",o5125-l03820,"Now you may think they all were happy,",o5125-l03815,/æpi/ | /æpi/,full,<b>a</b><b>a</b>,pers00154,o5125-w0130
