r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fountains, The Plover loves the mountains;,cbu86-l18040, The soaring Hern the fountains:,cbu86-l18050,/aʊntɪnz/ | /aʊntɪnz/,full,x<b>a</b>x<b>a</b>xbxb,pers00307,cbu86-w0320
fountains,"Then, with him, o'er hills and mountains,",o5155-l37160,Fearless taste the crystal fountains;,o5155-l37170,/aʊntɪnz/ | /aʊntɪnz/,full,<b>a</b>b<b>a</b>b,pers00035,o5155-w0900
