r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
murder,To push this Argument no further;,pmp18-l37385," To starve a Man, in Law, is Murther. ",pmp18-l37390,/ɜːðə/ | /ɜːðə/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
murder,"But SELIM'S crimes, he said, went further,",o5154-l29680,And barely stopp'd on this side murther;,o5154-l29685,/ɜːðə/ | /ɜːðə/,full,<b>a</b><b>a</b>,pers00141,o5154-w0550
murder," But, ere I could proceed much further,",o4899-l04850," Was taken up, and hung for murder;",o4899-l04855,/ɜːðə/ | /ɜːdə/,half-vowelrhyme,<b>a</b><b>a</b>,pers00330,o4899-w0010
