r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
us,"In cor stillavit, crys Lucretius;",pmp18-l32540, If He may be allow'd to teach Us.,pmp18-l32545,/iːʃəs/ | /ʌs/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
us,"Your crabbed Rogues, that read Lucretius,",pmp18-l01450," Are against Gods, You know; and teach us,",pmp18-l01455,/iːʃəs/ | /ʌs/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0050
specious," Quoted the nonsense of LUCRETIUS,",o3982-l00775, Stripp'd of the charm which makes it specious;,o3982-l00780,/iːʃəs/ | /iːʃəs/,full,<b>a</b><b>a</b>,pers00274,o3982-w0010
