r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
below, When Shepherds think the Heav'ns foreshow,pba35-l06585, Some dire Commotions here below;,pba35-l06590,/əʊ/ | /əʊ/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
woe,"Such is the will of Fate, and so the Gods foreshew.",o5157-l25100,On this alone depends your weal or woe;,o5157-l25095,/ɔːʃjuː/ | /əʊ/,half-pararhyme,<b>a</b><b>a</b>,pers00114,o5157-w0330
