r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
warran," And ane, a chap that's d — mn'd auldfarran,",cbu86-l02275,"Dempster, a true-blue Scot I'se warran;",cbu86-l02255,/ɔːldfærən/ | /ɒrən/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0030
kilkerran," And ane, a chap that's d — mn'd auldfarran,",cbu86-l02275," Thee, aith-detesting, chalk Kilkerran;",cbu86-l02260,/ɔːldfærən/ | /erən/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0030
baron," And ane, a chap that's d — mn'd auldfarran,",cbu86-l02275," An' that glib-gabbet Highland Baron,",cbu86-l02265,/ɔːldfærən/ | /ærn/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0030
