r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
was," In the plain, unstudied Sauce",o4784-l02885," Nor Treufle, nor Morillia was;",o4784-l02890,/ɔːs/ | /ɒz/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0080
cos," And Attic Salt, and Garum Sauce,",o3982-l05045, And Lettuce from the Isle of Cos;,o3982-l05050,/ɔːs/ | /əz/,half-pararhyme,<b>a</b><b>a</b>,pers00274,o3982-w0020
