Author ID,Author name
pers00326,"Georgiana Cavendish, Duchess of Devonshire"
pers00235,Benjamin Hutchinson
pers00087;pers00260,"Mary Barber; John Boyle, Fifth Earl of Orrery, Fifth Earl of Cork"
pers00286,Bertie Greatheed
pers00157,Anonymous
pers00238,Andrew Hervey Mills
pers00197,Anonymous
pers00071,Anonymous
pers00144,Elizabeth Pennington
pers00162,Anonymous
pers00223,James Fordyce
pers00076,"William Pulteney, Earl of Bath"
pers00005,John Winstanley
pers00080,Mrs. Bindon
pers00249,Ralph Schomberg
pers00136,Joseph Trapp
pers00161,Anonymous
pers00100,"George Granville, Baron Lansdowne"
pers00096,Philip Fletcher
pers00212,Hester Mulso Chapone
pers00181,Jael Henrietta Pye (née Mendez)
pers00015,Richard Savage
pers00125,Thomas Scott
pers00278,Robert Bloomfield
pers00335,Sir Richard Blackmore
pers00046,Robert Bedingfield
pers00186,Jerome Stone
pers00241,Richard Onely
pers00170,Patrick Delany
pers00205,Christopher Anstey
pers00239,Arthur Murphy
pers00221,Charles Emily
pers00195,Anonymous
pers00175,Frances Greville (née Macartney)
pers00192,Anonymous
pers00171,William Falconer
pers00150;pers00153,Joseph Addison; Nicholas Amhurst
pers00121,Laetitia Pilkington (née van Lewen)
pers00211,James Cawthorn
pers00003,James Harris
pers00255,Michael Wodhull
pers00177,Charles King
pers00159,Anonymous
pers00228,Dr Henry Harington
