Rhyme word,End freq,Full freq,Body freq,%DIFF,Rhyme frequency ratio
feigns,5,9,4,729.528,0.555556
dared,5,108,103,-67.785,0.046296
jade,5,5,0,1.9226332384834164e+16,1.0
repaired,5,18,13,155.239,0.277778
swing,5,9,4,729.528,0.555556
ally,5,12,7,374.016,0.416667
confusion,5,92,87,-61.861,0.054348
theatre,5,20,15,121.207,0.25
diadem,5,22,17,95.183,0.227273
uproar,5,11,6,453.019,0.454545
condole,5,9,4,729.528,0.555556
ignorance,5,134,129,-74.278,0.037313
wins,5,43,38,-12.681,0.116279
split,5,15,10,231.811,0.333333
overthrew,5,9,4,729.528,0.555556
besought,5,12,7,374.016,0.416667
wilderness,5,31,26,27.62,0.16129
guessed,5,14,9,268.679,0.357143
permit,5,50,45,-26.264,0.1
shriek,5,36,31,7.036,0.138889
mystery,5,29,24,38.255,0.172414
anxiety,5,14,9,268.679,0.357143
deserts,5,58,53,-37.394,0.086207
sprites,5,11,6,453.019,0.454545
engrossed,5,14,9,268.679,0.357143
replete,5,28,23,44.266,0.178571
roared,5,29,24,38.255,0.172414
heather,5,6,1,3218.111,0.833333
elect,5,12,7,374.016,0.416667
seven,5,49,44,-24.588,0.102041
lift,5,168,163,-79.643,0.029762
bond,5,26,21,58.005,0.192308
gems,5,104,99,-66.484,0.048077
aware,5,13,8,314.764,0.384615
has,5,2137,2132,-98.444,0.00234
stews,5,5,0,1.9226332384834164e+16,1.0
austere,5,12,7,374.016,0.416667
grudge,5,18,13,155.239,0.277778
decry,5,7,2,1559.056,0.714286
jokes,5,20,15,121.207,0.25
noses,5,10,5,563.622,0.5
body,5,217,212,-84.349,0.023041
crouds,5,66,61,-45.605,0.075758
thatch,5,8,3,1006.037,0.625
tyne,5,7,2,1559.056,0.714286
reinstate,5,6,1,3218.111,0.833333
contemn,5,15,10,231.811,0.333333
plaint,5,17,12,176.509,0.294118
events,5,40,35,-5.197,0.125
shorn,5,11,6,453.019,0.454545
whom,5,1203,1198,-97.23,0.004156
rises,5,94,89,-62.718,0.053191
mar,5,22,17,95.183,0.227273
unbinds,5,7,2,1559.056,0.714286
glances,5,59,54,-38.553,0.084746
salamander,5,6,1,3218.111,0.833333
sheets,5,19,14,137.008,0.263158
ornament,5,41,36,-7.83,0.121951
entice,5,8,3,1006.037,0.625
deformity,5,12,7,374.016,0.416667
keel,5,10,5,563.622,0.5
thumb,5,10,5,563.622,0.5
fury,5,201,196,-83.071,0.024876
imitate,5,32,27,22.893,0.15625
recedes,5,12,7,374.016,0.416667
burning,5,188,183,-81.868,0.026596
turning,5,64,59,-43.761,0.078125
impelled,5,35,30,10.604,0.142857
called,5,395,390,-91.492,0.012658
dined,5,15,10,231.811,0.333333
revived,5,34,29,14.418,0.147059
protects,5,22,17,95.183,0.227273
pressing,5,40,35,-5.197,0.125
rests,5,80,75,-55.759,0.0625
memory,5,303,298,-88.865,0.016502
mix,5,93,88,-62.294,0.053763
buff,5,6,1,3218.111,0.833333
clerk,5,17,12,176.509,0.294118
disaster,5,15,10,231.811,0.333333
nell,5,25,20,65.906,0.2
eighteen,5,13,8,314.764,0.384615
infancy,5,32,27,22.893,0.15625
strewn,5,12,7,374.016,0.416667
crammed,5,16,11,201.646,0.3125
profession,5,16,11,201.646,0.3125
bath,5,101,96,-65.436,0.049505
fay,5,6,1,3218.111,0.833333
seneschal,5,6,1,3218.111,0.833333
astounded,5,8,3,1006.037,0.625
undressed,5,7,2,1559.056,0.714286
herse,5,9,4,729.528,0.555556
scoff,5,16,11,201.646,0.3125
quadrille,5,12,7,374.016,0.416667
rump,5,6,1,3218.111,0.833333
constrained,5,18,13,155.239,0.277778
fangs,5,17,12,176.509,0.294118
gazing,5,95,90,-63.132,0.052632
deceased,5,13,8,314.764,0.384615
dung,5,9,4,729.528,0.555556
louse,5,6,1,3218.111,0.833333
piles,5,40,35,-5.197,0.125
introduce,5,10,5,563.622,0.5
ensure,5,12,7,374.016,0.416667
confused,5,53,48,-30.873,0.09434
assured,5,24,19,74.637,0.208333
order,5,200,195,-82.984,0.025
slavery,5,56,51,-34.939,0.089286
humane,5,59,54,-38.553,0.084746
respected,5,14,9,268.679,0.357143
overturned,5,11,6,453.019,0.454545
victories,5,18,13,155.239,0.277778
father,5,513,508,-93.468,0.009747
mates,5,21,16,107.382,0.238095
tether,5,6,1,3218.111,0.833333
lout,5,7,2,1559.056,0.714286
willie,5,25,20,65.906,0.2
universe,5,30,25,32.724,0.166667
ant,5,18,13,155.239,0.277778
cockade,5,6,1,3218.111,0.833333
unstained,5,17,12,176.509,0.294118
trail,5,16,11,201.646,0.3125
cows,5,25,20,65.906,0.2
e,5,13,8,314.764,0.384615
nancy,5,30,25,32.724,0.166667
troth,5,18,13,155.239,0.277778
meditate,5,27,22,50.823,0.185185
restingplace,5,7,2,1559.056,0.714286
resolution,5,26,21,58.005,0.192308
pleasures,5,459,454,-92.691,0.010893
measures,5,68,63,-47.332,0.073529
discharge,5,21,16,107.382,0.238095
degrade,5,13,8,314.764,0.384615
adhere,5,7,2,1559.056,0.714286
paul's,5,18,13,155.239,0.277778
accord,5,15,10,231.811,0.333333
ay,5,63,58,-42.791,0.079365
devised,5,10,5,563.622,0.5
revelry,5,13,8,314.764,0.384615
niece,5,13,8,314.764,0.384615
resolve,4,58,54,-50.843,0.068966
engraved,4,11,7,279.213,0.363636
sear,4,8,4,563.622,0.5
veer,4,8,4,563.622,0.5
anarchy,4,19,15,76.966,0.210526
feasts,4,44,40,-33.638,0.090909
president,4,8,4,563.622,0.5
heeds,4,25,21,26.404,0.16
futurity,4,19,15,76.966,0.210526
clash,4,11,7,279.213,0.363636
scorning,4,39,35,-24.157,0.102564
warning,4,40,36,-26.264,0.1
brier,4,6,2,1227.244,0.666667
madrigal,4,6,2,1227.244,0.666667
trill,4,9,5,430.898,0.444444
weet,4,13,9,194.943,0.307692
wain,4,6,2,1227.244,0.666667
brew,4,5,1,2554.489,0.8
fawns,4,22,18,47.472,0.181818
mell,4,4,0,1.5381065907867312e+16,1.0
bale,4,5,1,2554.489,0.8
endite,4,4,0,1.5381065907867312e+16,1.0
raw,4,13,9,194.943,0.307692
pies,4,8,4,563.622,0.5
trunk,4,42,38,-30.145,0.095238
asses,4,20,16,65.906,0.2
japan,4,11,7,279.213,0.363636
compassion,4,108,104,-74.476,0.037037
interest,4,199,195,-86.387,0.020101
betwixt,4,107,103,-74.228,0.037383
freedom,4,394,390,-93.194,0.010152
repented,4,9,5,430.898,0.444444
unfortunate,4,20,16,65.906,0.2
grants,4,36,32,-17.047,0.111111
clearly,4,21,17,56.146,0.190476
lingers,4,17,13,104.191,0.235294
flavour,4,13,9,194.943,0.307692
mortified,4,6,2,1227.244,0.666667
fount,4,37,33,-19.561,0.108108
confer,4,7,3,784.83,0.571429
b—,4,15,11,141.317,0.266667
troop,4,46,42,-36.798,0.086957
necks,4,24,20,32.724,0.166667
howls,4,14,10,165.449,0.285714
owls,4,23,19,39.71,0.173913
strode,4,8,4,563.622,0.5
conduce,4,5,1,2554.489,0.8
spice,4,11,7,279.213,0.363636
soiled,4,16,12,121.207,0.25
dispersed,4,31,27,-1.686,0.129032
incurred,4,6,2,1227.244,0.666667
obscured,4,37,33,-19.561,0.108108
seared,4,6,2,1227.244,0.666667
smack,4,8,4,563.622,0.5
chained,4,36,32,-17.047,0.111111
backs,4,14,10,165.449,0.285714
infer,4,7,3,784.83,0.571429
thrones,4,31,27,-1.686,0.129032
inconstancy,4,17,13,104.191,0.235294
sed,4,8,4,563.622,0.5
enraged,4,37,33,-19.561,0.108108
bet,4,16,12,121.207,0.25
sets,4,86,82,-67.628,0.046512
centre,4,92,88,-69.835,0.043478
ashore,4,5,1,2554.489,0.8
lectures,4,19,15,76.966,0.210526
in it,4,,,,
employment,4,18,14,89.606,0.222222
coins,4,15,11,141.317,0.266667
evidence,4,15,11,141.317,0.266667
reality,4,16,12,121.207,0.25
overhead,4,7,3,784.83,0.571429
tranquillity,4,16,12,121.207,0.25
illumes,4,14,10,165.449,0.285714
slung,4,5,1,2554.489,0.8
swung,4,6,2,1227.244,0.666667
caupolican,4,13,9,194.943,0.307692
damp,4,63,59,-55.009,0.063492
madness,4,106,102,-73.976,0.037736
espies,4,5,1,2554.489,0.8
neigh,4,12,8,231.811,0.333333
cascades,4,8,4,563.622,0.5
crushed,4,42,38,-30.145,0.095238
cleft,4,16,12,121.207,0.25
trodden,4,14,10,165.449,0.285714
blushed,4,57,53,-49.915,0.070175
rails,4,16,12,121.207,0.25
living,4,300,296,-91.032,0.013333
pranks,4,22,18,47.472,0.181818
soared,4,19,15,76.966,0.210526
admits,4,30,26,2.096,0.133333
foregoes,4,11,7,279.213,0.363636
symmetry,4,22,18,47.472,0.181818
keeping,4,8,4,563.622,0.5
beads,4,19,15,76.966,0.210526
unpossessed,4,4,0,1.5381065907867312e+16,1.0
anne,4,43,39,-31.936,0.093023
mall,4,11,7,279.213,0.363636
canal,4,7,3,784.83,0.571429
borrow,4,24,20,32.724,0.166667
expiring,4,72,68,-60.963,0.055556
compelled,4,61,57,-53.43,0.065574
multiply,4,8,4,563.622,0.5
skreen,4,8,4,563.622,0.5
harlequin,4,7,3,784.83,0.571429
similes,4,13,9,194.943,0.307692
ladies,4,159,155,-82.874,0.025157
pills,4,6,2,1227.244,0.666667
a'ter,4,4,0,1.5381065907867312e+16,1.0
search,4,258,254,-89.549,0.015504
celebrate,4,40,36,-26.264,0.1
appearing,4,16,12,121.207,0.25
shocks,4,16,12,121.207,0.25
cleaves,4,27,23,15.413,0.148148
ensnares,4,5,1,2554.489,0.8
stared,4,12,8,231.811,0.333333
aday,4,5,1,2554.489,0.8
farthing,4,10,6,342.415,0.4
growing,4,129,125,-78.764,0.031008
unbarred,4,6,2,1227.244,0.666667
acquires,4,8,4,563.622,0.5
downs,4,17,13,104.191,0.235294
floats,4,33,29,-8.466,0.121212
survived,4,8,4,563.622,0.5
defect,4,20,16,65.906,0.2
champagne,4,7,3,784.83,0.571429
hereafter,4,46,42,-36.798,0.086957
discarded,4,12,8,231.811,0.333333
disprove,4,4,0,1.5381065907867312e+16,1.0
dozen,4,11,7,279.213,0.363636
slip,4,19,15,76.966,0.210526
mettle,4,10,6,342.415,0.4
crying,4,14,10,165.449,0.285714
begs,4,35,31,-14.371,0.114286
stander-by,4,5,1,2554.489,0.8
fiction,4,33,29,-8.466,0.121212
enter,4,67,63,-57.865,0.059701
chapter,4,12,8,231.811,0.333333
mended,4,10,6,342.415,0.4
intended,4,36,32,-17.047,0.111111
submits,4,22,18,47.472,0.181818
carry,4,41,37,-28.257,0.097561
cruel,4,419,415,-93.604,0.009547
murder,4,77,73,-63.637,0.051948
ceases,4,23,19,39.71,0.173913
gentleman,4,50,46,-42.294,0.08
milk,4,49,45,-41.011,0.081633
mary,4,79,75,-64.607,0.050633
shears,4,9,5,430.898,0.444444
bottle,4,32,28,-5.197,0.125
buffoon,4,5,1,2554.489,0.8
annoys,4,4,0,1.5381065907867312e+16,1.0
disturb,4,72,68,-60.963,0.055556
displeased,4,17,13,104.191,0.235294
acute,4,7,3,784.83,0.571429
tamed,4,11,7,279.213,0.363636
groom,4,15,11,141.317,0.266667
informed,4,34,30,-11.517,0.117647
exchange,4,26,22,20.659,0.153846
dealt,4,42,38,-30.145,0.095238
assent,4,17,13,104.191,0.235294
mispent,4,5,1,2554.489,0.8
renewing,4,7,3,784.83,0.571429
viewing,4,22,18,47.472,0.181818
suspended,4,39,35,-24.157,0.102564
bestowing,4,7,3,784.83,0.571429
lone,4,146,142,-81.306,0.027397
complying,4,8,4,563.622,0.5
prerogative,4,20,16,65.906,0.2
provided,4,14,10,165.449,0.285714
interpose,4,6,2,1227.244,0.666667
emerge,4,8,4,563.622,0.5
gliding,4,48,44,-39.671,0.083333
sprig,4,15,11,141.317,0.266667
nonsense,4,55,51,-47.951,0.072727
conscience,4,166,162,-83.614,0.024096
shields,4,17,13,104.191,0.235294
cheats,4,27,23,15.413,0.148148
exist,4,20,16,65.906,0.2
invented,4,10,6,342.415,0.4
negligence,4,19,15,76.966,0.210526
droll,4,9,5,430.898,0.444444
halt,4,11,7,279.213,0.363636
pork,4,5,1,2554.489,0.8
followed,4,85,81,-67.229,0.047059
swallowed,4,19,15,76.966,0.210526
roundelay,4,9,5,430.898,0.444444
replace,4,8,4,563.622,0.5
veiled,4,65,61,-56.484,0.061538
nakedness,4,7,3,784.83,0.571429
divined,4,4,0,1.5381065907867312e+16,1.0
deposed,4,9,5,430.898,0.444444
guards,4,91,87,-69.489,0.043956
demur,4,4,0,1.5381065907867312e+16,1.0
obligation,4,5,1,2554.489,0.8
overblown,4,4,0,1.5381065907867312e+16,1.0
afternoon,4,5,1,2554.489,0.8
rents,4,11,7,279.213,0.363636
tremble,4,159,155,-82.874,0.025157
guided,4,43,39,-31.936,0.093023
happy,4,1065,1061,-97.498,0.003756
priests,4,96,92,-71.147,0.041667
lazy,4,64,60,-55.759,0.0625
sair,4,11,7,279.213,0.363636
brae,4,7,3,784.83,0.571429
v—,4,7,3,784.83,0.571429
pangs,4,223,219,-87.879,0.017937
hangs,4,134,130,-79.581,0.029851
porch,4,17,13,104.191,0.235294
overturn,4,9,5,430.898,0.444444
though,4,3193,3189,-99.168,0.001253
expelled,4,12,8,231.811,0.333333
sheath,4,11,7,279.213,0.363636
ton,4,13,9,194.943,0.307692
flit,4,21,17,56.146,0.190476
immense,4,43,39,-31.936,0.093023
cooks,4,11,7,279.213,0.363636
civility,4,7,3,784.83,0.571429
thieves,4,18,14,89.606,0.222222
admiration,4,45,41,-35.256,0.088889
flutter,4,35,31,-14.371,0.114286
absolute,4,22,18,47.472,0.181818
revelation,4,9,5,430.898,0.444444
translation,4,27,23,15.413,0.148148
elbow-chair,4,6,2,1227.244,0.666667
carve,4,18,14,89.606,0.222222
gripe,4,15,11,141.317,0.266667
cars,4,15,11,141.317,0.266667
provokes,4,16,12,121.207,0.25
quaint,4,23,19,39.71,0.173913
overpaid,4,8,4,563.622,0.5
squeak,4,8,4,563.622,0.5
fetter,4,10,6,342.415,0.4
mare,4,12,8,231.811,0.333333
begone,4,15,11,141.317,0.266667
sleet,4,11,7,279.213,0.363636
creek,4,18,14,89.606,0.222222
doe,4,4,0,1.5381065907867312e+16,1.0
enforce,4,12,8,231.811,0.333333
ooze,4,9,5,430.898,0.444444
oblige,4,26,22,20.659,0.153846
leaps,4,29,25,6.18,0.137931
strokes,4,44,40,-33.638,0.090909
cud,4,8,4,563.622,0.5
mocks,4,52,48,-44.698,0.076923
accursed,4,44,40,-33.638,0.090909
imprint,4,8,4,563.622,0.5
uprears,4,9,5,430.898,0.444444
bruise,4,20,16,65.906,0.2
wreaths,4,124,120,-77.879,0.032258
wines,4,20,16,65.906,0.2
drains,4,9,5,430.898,0.444444
receipt,4,17,13,104.191,0.235294
pyre,4,6,2,1227.244,0.666667
lees,4,7,3,784.83,0.571429
discard,4,8,4,563.622,0.5
see't,4,7,3,784.83,0.571429
reform,4,34,30,-11.517,0.117647
shilling,4,10,6,342.415,0.4
servant,4,98,94,-71.761,0.040816
hack,4,10,6,342.415,0.4
misleads,4,6,2,1227.244,0.666667
munificence,4,7,3,784.83,0.571429
narration,4,7,3,784.83,0.571429
glove,4,5,1,2554.489,0.8
fairy,4,214,210,-87.36,0.018692
brooks,4,31,27,-1.686,0.129032
entail,4,5,1,2554.489,0.8
white's,4,12,8,231.811,0.333333
embrued,4,4,0,1.5381065907867312e+16,1.0
indignation,4,35,31,-14.371,0.114286
convince,4,19,15,76.966,0.210526
befriends,4,6,2,1227.244,0.666667
forbidden,4,46,42,-36.798,0.086957
beauties,4,428,424,-93.739,0.009346
labours,4,239,235,-88.704,0.016736
neighbours,4,64,60,-55.759,0.0625
straws,4,9,5,430.898,0.444444
favours,4,98,94,-71.761,0.040816
hath,4,421,417,-93.634,0.009501
handsome,4,37,33,-19.561,0.108108
recollection,4,17,13,104.191,0.235294
ado,4,7,3,784.83,0.571429
action,4,130,126,-78.933,0.030769
recover,4,14,10,165.449,0.285714
union,4,73,69,-61.529,0.054795
beaming,4,57,53,-49.915,0.070175
number,4,77,73,-63.637,0.051948
slumber,4,99,95,-72.058,0.040404
forbid,4,97,93,-71.457,0.041237
aread,4,5,1,2554.489,0.8
transmit,4,13,9,194.943,0.307692
disposed,4,40,36,-26.264,0.1
amend,4,13,9,194.943,0.307692
restores,4,21,17,56.146,0.190476
cur,4,23,19,39.71,0.173913
rams,4,8,4,563.622,0.5
unblessed,4,17,13,104.191,0.235294
inspected,4,4,0,1.5381065907867312e+16,1.0
stoops,4,28,24,10.604,0.142857
village-green,4,4,0,1.5381065907867312e+16,1.0
dole,4,11,7,279.213,0.363636
lied,4,5,1,2554.489,0.8
procures,4,5,1,2554.489,0.8
hang,4,148,144,-81.566,0.027027
lack,4,15,11,141.317,0.266667
bench,4,23,19,39.71,0.173913
thyme,4,19,15,76.966,0.210526
skie,4,5,1,2554.489,0.8
clink,4,6,2,1227.244,0.666667
revile,4,8,4,563.622,0.5
shall,4,5726,5722,-99.536,0.000699
prattle,4,17,13,104.191,0.235294
written,4,356,352,-92.459,0.011236
precise,4,10,6,342.415,0.4
sneers,4,8,4,563.622,0.5
repined,4,8,4,563.622,0.5
meats,4,13,9,194.943,0.307692
whey,4,5,1,2554.489,0.8
traveller,4,64,60,-55.759,0.0625
doomed,4,217,213,-87.538,0.018433
inurned,4,4,0,1.5381065907867312e+16,1.0
surpassed,4,15,11,141.317,0.266667
latin,4,35,31,-14.371,0.114286
earn,4,16,12,121.207,0.25
piety,4,91,87,-69.489,0.043956
lour,4,6,2,1227.244,0.666667
unspeakable,4,6,2,1227.244,0.666667
satisfy,4,14,10,165.449,0.285714
fork,4,8,4,563.622,0.5
excelling,4,18,14,89.606,0.222222
complexion,4,20,16,65.906,0.2
parted,4,52,48,-44.698,0.076923
pant,4,55,51,-47.951,0.072727
overawed,4,6,2,1227.244,0.666667
streamed,4,15,11,141.317,0.266667
kent,4,12,8,231.811,0.333333
prim,4,9,5,430.898,0.444444
undress,4,11,7,279.213,0.363636
manger,4,7,3,784.83,0.571429
certain,4,185,181,-85.334,0.021622
dearly,4,52,48,-44.698,0.076923
reviled,4,9,5,430.898,0.444444
adrift,4,5,1,2554.489,0.8
wreathes,4,13,9,194.943,0.307692
bull,4,23,19,39.71,0.173913
fond,4,858,854,-96.892,0.004662
stems,4,18,14,89.606,0.222222
gilded,4,140,136,-80.482,0.028571
faints,4,22,18,47.472,0.181818
pearl,4,46,42,-36.798,0.086957
disputes,4,21,17,56.146,0.190476
elegance,4,70,66,-59.78,0.057143
bawd,4,9,5,430.898,0.444444
sublimes,4,5,1,2554.489,0.8
crony,4,6,2,1227.244,0.666667
pocket,4,11,7,279.213,0.363636
addison,4,26,22,20.659,0.153846
geometry,4,5,1,2554.489,0.8
belles,4,31,27,-1.686,0.129032
epitome,4,6,2,1227.244,0.666667
emptiness,4,9,5,430.898,0.444444
carr,4,6,2,1227.244,0.666667
penury,4,27,23,15.413,0.148148
prescribe,4,18,14,89.606,0.222222
grott,4,15,11,141.317,0.266667
latch,4,6,2,1227.244,0.666667
commonweal,4,4,0,1.5381065907867312e+16,1.0
parallel,4,9,5,430.898,0.444444
mistrust,4,13,9,194.943,0.307692
votaries,4,59,55,-51.737,0.067797
threads,4,29,25,6.18,0.137931
justified,4,14,10,165.449,0.285714
wrack,4,11,7,279.213,0.363636
ingrate,4,9,5,430.898,0.444444
pension,4,18,14,89.606,0.222222
sticks,4,11,7,279.213,0.363636
deplores,4,11,7,279.213,0.363636
feathers,4,38,34,-21.927,0.105263
snakes,4,27,23,15.413,0.148148
dances,4,28,24,10.604,0.142857
pump,4,11,7,279.213,0.363636
froth,4,11,7,279.213,0.363636
physician,4,20,16,65.906,0.2
charter,4,23,19,39.71,0.173913
spit,4,10,6,342.415,0.4
fowl,4,28,24,10.604,0.142857
club,4,26,22,20.659,0.153846
obtrude,4,7,3,784.83,0.571429
pang,4,106,102,-73.976,0.037736
pedigree,4,11,7,279.213,0.363636
sympathise,4,13,9,194.943,0.307692
buds,4,71,67,-60.381,0.056338
dedication,4,13,9,194.943,0.307692
assault,4,23,19,39.71,0.173913
rarely,4,62,58,-54.233,0.064516
scared,4,33,29,-8.466,0.121212
fumes,4,28,24,10.604,0.142857
crocodile,4,9,5,430.898,0.444444
fleets,4,35,31,-14.371,0.114286
snuff,4,22,18,47.472,0.181818
swoon,4,8,4,563.622,0.5
goodwill,4,6,2,1227.244,0.666667
flat,4,21,17,56.146,0.190476
engross,4,12,8,231.811,0.333333
surrounded,4,35,31,-14.371,0.114286
conspires,4,7,3,784.83,0.571429
comforter,4,13,9,194.943,0.307692
gauge,4,5,1,2554.489,0.8
heraldry,4,9,5,430.898,0.444444
consecrate,4,49,45,-41.011,0.081633
directed,4,32,28,-5.197,0.125
whither,4,77,73,-63.637,0.051948
flattery,4,120,116,-77.116,0.033333
impends,4,6,2,1227.244,0.666667
attention,4,142,138,-80.765,0.028169
succession,4,50,46,-42.294,0.08
rabble,4,16,12,121.207,0.25
quean,4,4,0,1.5381065907867312e+16,1.0
ane,4,32,28,-5.197,0.125
gane,4,9,5,430.898,0.444444
unenjoyed,4,7,3,784.83,0.571429
erased,4,5,1,2554.489,0.8
witch,4,22,18,47.472,0.181818
recommends,4,7,3,784.83,0.571429
drift,4,7,3,784.83,0.571429
boasts,4,97,93,-71.457,0.041237
entailed,4,7,3,784.83,0.571429
powder,4,23,19,39.71,0.173913
reviews,4,10,6,342.415,0.4
players,4,18,14,89.606,0.222222
attribute,4,17,13,104.191,0.235294
hen,4,22,18,47.472,0.181818
raising,4,21,17,56.146,0.190476
dressing-room,4,4,0,1.5381065907867312e+16,1.0
dutch,4,17,13,104.191,0.235294
preaches,4,6,2,1227.244,0.666667
avert,4,46,42,-36.798,0.086957
element,4,18,14,89.606,0.222222
croon,4,6,2,1227.244,0.666667
malice,4,145,141,-81.174,0.027586
uttered,4,29,25,6.18,0.137931
smother,4,11,7,279.213,0.363636
willing,4,188,184,-85.573,0.021277
taking,4,41,37,-28.257,0.097561
offends,4,12,8,231.811,0.333333
in't,4,9,5,430.898,0.444444
solemnity,4,11,7,279.213,0.363636
screams,4,22,18,47.472,0.181818
courted,4,43,39,-31.936,0.093023
danae,4,8,4,563.622,0.5
mistakes,4,17,13,104.191,0.235294
discretion,4,24,20,32.724,0.166667
chairs,4,16,12,121.207,0.25
forbore,4,8,4,563.622,0.5
games,4,22,18,47.472,0.181818
champain,4,7,3,784.83,0.571429
amours,4,6,2,1227.244,0.666667
espouse,4,7,3,784.83,0.571429
addressing,4,7,3,784.83,0.571429
descending,4,100,96,-72.349,0.04
natural,4,83,79,-66.399,0.048193
architect,4,16,12,121.207,0.25
approbation,4,12,8,231.811,0.333333
prowl,4,8,4,563.622,0.5
raved,4,16,12,121.207,0.25
point,4,247,243,-89.076,0.016194
reviewed,4,6,2,1227.244,0.666667
stormed,4,13,9,194.943,0.307692
odes,4,19,15,76.966,0.210526
abstinence,4,14,10,165.449,0.285714
your's,4,28,24,10.604,0.142857
edge,4,43,39,-31.936,0.093023
torch,4,58,54,-50.843,0.068966
pursuing,4,30,26,2.096,0.133333
skins,4,10,6,342.415,0.4
party,4,76,72,-63.132,0.052632
chant,4,37,33,-19.561,0.108108
knocks,4,12,8,231.811,0.333333
hussar,4,5,1,2554.489,0.8
choirs,4,16,12,121.207,0.25
mislead,4,9,5,430.898,0.444444
bards,4,183,179,-85.17,0.021858
kick,4,18,14,89.606,0.222222
mint,4,11,7,279.213,0.363636
lurk,4,31,27,-1.686,0.129032
dive,4,23,19,39.71,0.173913
stool,4,8,4,563.622,0.5
d,4,117,113,-76.509,0.034188
a,4,27192,27188,-99.902,0.000147
funeral,4,66,62,-57.186,0.060606
represent,4,14,10,165.449,0.285714
fountain,4,97,93,-71.457,0.041237
mountain,4,205,201,-86.794,0.019512
overwhelms,4,11,7,279.213,0.363636
shoots,4,69,65,-59.162,0.057971
ails,4,20,16,65.906,0.2
droops,4,39,35,-24.157,0.102564
po,4,8,4,563.622,0.5
geese,4,18,14,89.606,0.222222
outspread,4,11,7,279.213,0.363636
unbought,4,13,9,194.943,0.307692
subsist,4,10,6,342.415,0.4
unveil,4,16,12,121.207,0.25
soils,4,11,7,279.213,0.363636
intelligence,4,11,7,279.213,0.363636
real,4,233,229,-88.408,0.017167
unbend,4,14,10,165.449,0.285714
pan,4,43,39,-31.936,0.093023
kills,4,26,22,20.659,0.153846
eyed,4,20,16,65.906,0.2
comb,4,12,8,231.811,0.333333
foresaw,4,10,6,342.415,0.4
situation,4,13,9,194.943,0.307692
physicians,4,20,16,65.906,0.2
dethrone,4,8,4,563.622,0.5
guinea,4,17,13,104.191,0.235294
toiled,4,24,20,32.724,0.166667
remark,4,17,13,104.191,0.235294
bacon,4,18,14,89.606,0.222222
forced,4,212,208,-87.238,0.018868
relation,4,17,13,104.191,0.235294
spends,4,32,28,-5.197,0.125
reversed,4,20,16,65.906,0.2
notions,4,56,52,-48.952,0.071429
ideal,4,46,42,-36.798,0.086957
unawares,4,12,8,231.811,0.333333
stroll,4,10,6,342.415,0.4
solomon,4,29,25,6.18,0.137931
etc.,4,170,166,-84.009,0.023529
barter,4,21,17,56.146,0.190476
revolve,3,10,7,184.41,0.3
sill,3,7,4,397.717,0.428571
baal,3,6,3,563.622,0.5
disallow,3,3,0,1.153579943090046e+16,1.0
uncurled,3,7,4,397.717,0.428571
tolled,3,13,10,99.087,0.230769
disallows,3,3,0,1.153579943090046e+16,1.0
observed,3,51,48,-58.524,0.058824
razed,3,7,4,397.717,0.428571
speeds,3,21,18,10.604,0.142857
starts,3,84,81,-75.421,0.035714
praises,3,140,137,-85.468,0.021429
despises,3,10,7,184.41,0.3
prises,3,9,6,231.811,0.333333
compound,3,20,17,17.11,0.15
aboon,3,6,3,563.622,0.5
stature,3,25,22,-9.506,0.12
lash,3,67,64,-68.893,0.044776
holy,3,406,403,-95.06,0.007389
debtors,3,9,6,231.811,0.333333
fairyland,3,10,7,184.41,0.3
cit,3,11,8,148.858,0.272727
dyke,3,6,3,563.622,0.5
traces,3,32,29,-31.349,0.09375
coil,3,13,10,99.087,0.230769
lows,3,8,5,298.173,0.375
promote,3,12,9,121.207,0.25
dawns,3,21,18,10.604,0.142857
barge,3,7,4,397.717,0.428571
wilds,3,82,79,-74.799,0.036585
rook,3,6,3,563.622,0.5
crone,3,6,3,563.622,0.5
fulfilled,3,16,13,53.144,0.1875
chiel,3,7,4,397.717,0.428571
graith,3,3,0,1.153579943090046e+16,1.0
stools,3,4,1,1890.867,0.75
insist,3,7,4,397.717,0.428571
mysel,3,10,7,184.41,0.3
brothers,3,115,112,-82.224,0.026087
fervent,3,40,37,-46.193,0.075
cooe,3,3,0,1.153579943090046e+16,1.0
interfere,3,4,1,1890.867,0.75
goodnight,3,5,2,895.433,0.6
tint,3,28,25,-20.365,0.107143
teasing,3,11,8,148.858,0.272727
displeasing,3,5,2,895.433,0.6
saying,3,31,28,-28.898,0.096774
highway,3,6,3,563.622,0.5
spue,3,3,0,1.153579943090046e+16,1.0
brokenhearted,3,3,0,1.153579943090046e+16,1.0
departed,3,68,65,-69.371,0.044118
raven-hair,3,3,0,1.153579943090046e+16,1.0
adoration,3,32,29,-31.349,0.09375
holes,3,7,4,397.717,0.428571
divert,3,26,23,-13.441,0.115385
muffs,3,4,1,1890.867,0.75
fowls,3,11,8,148.858,0.272727
arrests,3,15,12,65.906,0.2
halleluja,3,6,3,563.622,0.5
chit,3,4,1,1890.867,0.75
debauchery,3,3,0,1.153579943090046e+16,1.0
prodigy,3,16,13,53.144,0.1875
votary,3,45,42,-52.598,0.066667
implied,3,7,4,397.717,0.428571
