Rhyme word,End freq,Full freq,Body freq,%DIFF,Rhyme frequency ratio
dear,302,1438,1136,76.421,0.210014
sigh,298,665,367,438.854,0.44812
said,297,995,698,182.372,0.298492
wind,295,522,227,762.417,0.565134
wise,295,743,448,336.983,0.397039
dwell,295,402,107,1729.613,0.733831
will,293,3253,2960,-34.31,0.090071
call,293,805,512,279.768,0.363975
gain,292,540,248,681.362,0.540741
tomb,292,397,105,1745.502,0.735516
appears,292,431,139,1294.084,0.677494
wit,292,866,574,237.592,0.337182
gold,289,601,312,514.701,0.480865
raise,286,657,371,411.579,0.435312
hair,283,401,118,1491.569,0.705736
feel,281,843,562,231.811,0.333333
aid,280,636,356,421.95,0.440252
tide,279,360,81,2185.81,0.775
main,279,332,53,3393.408,0.840361
glow,278,370,92,1905.293,0.751351
flood,278,383,105,1657.019,0.725849
field,276,454,178,928.987,0.60793
strife,275,333,58,3046.485,0.825826
earth,273,1317,1044,73.533,0.207289
repose,273,361,88,1958.737,0.756233
along,273,771,498,263.793,0.354086
prey,272,396,124,1355.687,0.686869
wing,272,438,166,987.381,0.621005
claim,271,450,179,904.702,0.602222
roll,267,423,156,1035.815,0.631206
fled,267,458,191,827.681,0.582969
line,266,405,139,1169.953,0.65679
same,264,1137,873,100.683,0.23219
blow,263,340,77,2166.658,0.773529
feet,262,571,309,462.683,0.458844
retreat,261,341,80,2065.068,0.765396
deep,260,1064,804,114.604,0.244361
obey,258,323,65,2534.07,0.798762
attend,257,461,204,736.034,0.557484
desire,257,385,128,1232.429,0.667532
lays,257,395,138,1135.876,0.650633
done,257,476,219,678.771,0.539916
control,256,289,33,5048.1,0.885813
given,256,394,138,1131.067,0.649746
cause,255,672,417,305.812,0.379464
bright,255,1432,1177,43.775,0.178073
mankind,254,463,209,706.507,0.548596
meet,254,742,488,245.41,0.342318
foe,253,488,235,614.453,0.518443
now,252,5344,5092,-67.158,0.047156
bound,250,417,167,893.446,0.59952
plains,250,453,203,717.269,0.551876
prise,249,409,160,932.762,0.608802
cries,248,488,240,585.743,0.508197
bring,247,604,357,359.145,0.40894
inspire,247,312,65,2421.765,0.791667
guide,247,568,321,410.638,0.434859
well,247,1588,1341,22.233,0.155542
prayer,245,387,142,1044.982,0.633075
rove,245,293,48,3287.239,0.836177
laid,244,450,206,686.038,0.542222
dies,243,359,116,1290.174,0.67688
do,243,1234,991,62.725,0.196921
years,243,735,492,227.765,0.330612
birth,242,412,170,844.686,0.587379
lord,241,996,755,111.832,0.241968
toil,240,555,315,405.617,0.432432
trace,240,402,162,883.144,0.597015
sleep,240,546,306,420.488,0.43956
crowned,238,405,167,845.761,0.587654
stay,234,418,184,743.954,0.559809
boast,234,511,277,460.605,0.457926
voice,234,1205,971,59.925,0.194191
mourn,233,472,239,546.962,0.493644
morn,232,608,376,309.469,0.381579
fears,231,562,331,363.132,0.411032
king,231,708,477,221.377,0.326271
bloom,231,467,236,549.562,0.494647
by,230,10684,10454,-85.4,0.021528
swain,230,442,212,619.968,0.520362
arise,229,340,111,1269.095,0.673529
lyre,229,368,139,993.306,0.622283
hours,228,712,484,212.615,0.320225
seat,227,394,167,802.049,0.576142
woes,227,456,229,557.826,0.497807
laws,226,488,262,472.438,0.463115
wound,226,404,178,742.577,0.559406
shed,226,414,188,697.759,0.545894
stream,226,575,349,329.738,0.393043
shame,226,452,226,563.622,0.5
gone,226,433,207,624.534,0.52194
wood,225,377,152,882.336,0.596817
remain,225,275,50,2886.3,0.818182
wife,224,450,226,557.749,0.497778
vale,224,451,227,554.852,0.496674
led,223,550,327,352.562,0.405455
flight,222,358,136,983.266,0.620112
bestow,220,255,35,4071.34,0.862745
display,219,277,58,2405.746,0.790614
return,219,562,343,323.712,0.38968
frame,219,346,127,1044.356,0.632948
tale,217,552,335,329.869,0.393116
right,217,755,538,167.669,0.287417
wave,217,445,228,531.605,0.48764
died,216,387,171,738.26,0.55814
dart,215,318,103,1285.231,0.676101
unknown,214,500,286,396.557,0.428
son,214,645,431,229.502,0.331783
hands,213,620,407,247.301,0.343548
sea,213,440,227,522.694,0.484091
on,212,10747,10535,-86.646,0.019726
born,211,596,385,263.699,0.354027
him,211,3601,3390,-58.695,0.058595
decay,210,231,21,6536.222,0.909091
grief,210,883,673,107.074,0.237826
dressed,209,318,109,1172.45,0.657233
men,208,1100,892,54.746,0.189091
roar,206,275,69,1881.249,0.749091
confined,205,271,66,1961.251,0.756458
cell,205,285,80,1600.532,0.719298
knew,205,578,373,264.725,0.354671
