Author ID,Conventionality,Rhyme tokens
pers00268,0.454683,3905
pers00279,0.454604,1196
pers00202,0.454015,58
pers00332,0.453933,178
pers00312,0.453846,24
pers00006,0.453383,30
pers00104,0.452717,149
pers00022,0.452474,835
pers00314,0.45234,10138
pers00280;pers00283,0.452248,28
pers00108,0.452124,749
pers00025,0.451089,300
pers00087,0.450795,2676
pers00307,0.45039,3523
pers00321,0.448955,72
pers00329,0.447307,494
pers00257,0.447281,2463
pers00054,0.446921,691
pers00319,0.446722,601
pers00289,0.446126,92
pers00304,0.445512,504
pers00345,0.445217,736
pers00162,0.445137,32
pers00292,0.444785,3146
pers00155,0.444489,6740
pers00190,0.443159,52
pers00274,0.443024,1635
pers00311,0.442561,356
pers00309,0.442085,2181
pers00123,0.442029,235
pers00124,0.441878,328
pers00273,0.441194,2669
pers00158,0.441001,68
pers00134,0.440948,94
pers00028,0.440898,98
pers00184,0.440745,20
pers00090,0.438595,220
pers00269,0.438376,7843
pers00161,0.438056,180
pers00357,0.437373,28
pers00347,0.436395,234
pers00137,0.436287,8
pers00228,0.434885,72
pers00353,0.433717,1225
pers00287,0.433417,5133
pers00356,0.432755,1779
pers00094,0.431848,127
pers00270;pers00269,0.430465,138
pers00023,0.430282,46
pers00015,0.430169,14
pers00272,0.429752,2911
pers00130,0.428886,620
pers00148,0.427791,707
pers00167,0.427045,276
pers00143,0.42607,828
pers00063,0.425641,32
pers00062,0.425563,27
pers00109,0.423707,42
pers00254,0.421597,1200
pers00017,0.41918,215
pers00041,0.41805,264
pers00131,0.417721,264
pers00014,0.417439,155
pers00215,0.414594,301
pers00027,0.413753,273
pers00012;pers00148,0.41078,94
pers00141,0.410769,614
pers00204,0.409831,110
pers00205,0.408457,1602
pers00172,0.406202,46
pers00160,0.405688,64
pers00350,0.404704,3323
pers00084,0.404582,80
pers00236,0.400993,124
pers00077,0.400014,16
pers00098,0.398849,346
pers00283,0.395406,16
pers00080,0.393478,14
pers00330,0.39304,1898
pers00127,0.39239,65
pers00157,0.3923,50
pers00129,0.388054,14
pers00177,0.38395,32
pers00076,0.381001,66
pers00092,0.375511,60
pers00260,0.373284,8
pers00223,0.372903,8
pers00133,0.371103,172
pers00105,0.363042,16
pers00096,0.362175,28
pers00115,0.348508,149
pers00173,0.341352,88
pers00005,0.336194,8
pers00059,0.333278,78
pers00026,0.327372,121
pers00139,0.327177,16
pers00164,0.322267,16
pers00071,0.319878,16
pers00072,0.313806,259
pers00060,0.267598,18
